edad;GKF_95;GKM_95;GRF_95;GRM_95;GKF_80;GKM_80;GRF_80;GRM_80
15;0,2959;1,5785;0,3179;1,2879;0,994;1,079;0,471;0,748
16;0,3317;1,5951;0,3199;1,289;1,006;1,091;0,484;0,755
17;0,3427;1,6006;0,3219;1,2902;1,018;1,103;0,5;0,764
18;0,3392;1,595;0,3239;1,2913;1,03;1,116;0,519;0,774
19;0,3303;1,5785;0,3259;1,2924;1,042;1,128;0,541;0,786
20;0,3262;1,5503;0,3286;1,2936;1,055;1,14;0,566;0,799
21;0,3364;1,5094;0,3424;1,2947;1,067;1,152;0,594;0,814
22;0,3613;1,4643;0,3664;1,2958;1,079;1,164;0,624;0,831
23;0,391;1,4238;0,3953;1,297;1,091;1,177;0,658;0,849
24;0,4213;1,388;0,4247;1,2981;1,103;1,189;0,694;0,869
25;0,4514;1,3574;0,4541;1,2992;1,116;1,201;0,733;0,89
26;0,4819;1,3325;0,4839;1,3004;1,128;1,213;0,776;0,913
27;0,5129;1,3137;0,5143;1,3015;1,14;1,225;0,821;0,937
28;0,5448;1,3018;0,5456;1,3026;1,152;1,238;0,869;0,963
29;0,578;1,2968;0,5783;1,3038;1,164;1,25;0,92;0,991
30;0,6126;1,2995;0,6124;1,3057;1,177;1,262;0,974;1,02
31;0,6492;1,3104;0,6485;1,3146;1,189;1,276;1,03;1,056
32;0,6877;1,3299;0,6867;1,3325;1,201;1,299;1,09;1,103
33;0,7287;1,3586;0,7274;1,3596;1,213;1,34;1,153;1,163
34;0,7726;1,397;0,7709;1,3965;1,225;1,398;1,218;1,237
35;0,8193;1,4454;0,8174;1,4436;1,238;1,477;1,287;1,325
36;0,8693;1,5045;0,8671;1,5014;1,25;1,577;1,358;1,428
37;0,9216;1,5754;0,9192;1,571;1,262;1,7;1,432;1,548
38;0,9756;1,6591;0,973;1,6535;1,276;1,847;1,509;1,684
39;1,0304;1,7566;1,0277;1,7501;1,299;2,021;1,589;1,838
40;1,085;1,8694;1,0822;1,8617;1,34;2,222;1,672;2,011
41;1,1389;1,9983;1,136;1,9896;1,398;2,452;1,758;2,203
42;1,1911;2,1445;1,188;2,1348;1,477;2,712;1,847;2,415
43;1,2416;2,3096;1,2384;2,299;1,577;3,004;1,939;2,649
44;1,2937;2,497;1,2904;2,4855;1,7;3,33;2,018;2,904
45;1,3517;2,7107;1,3484;2,6984;1,847;3,691;2,073;3,182
46;1,4197;2,9545;1,4163;2,9414;2,021;4,089;2,11;3,484
47;1,502;3,2325;1,4916;3,2187;2,222;4,524;2,136;3,811
48;1,6022;3,5482;1,5698;3,5338;2,452;5;2,158;4,163
49;1,7249;3,9057;1,6526;3,8715;2,712;5,516;2,181;4,541
50;1,8738;4,3087;1,7417;4,2176;3,005;6,094;2,213;4,946
51;2,0531;4,7606;1,8387;4,5778;3,331;6,706;2,26;5,379
52;2,2649;5,2655;1,9453;4,9576;3,691;7,382;2,329;5,841
53;2,5056;5,8269;2,0633;5,3626;4,089;8,13;2,426;6,332
54;2,7701;6,4474;2,1941;5,7985;4,525;8,958;2,558;6,854
55;3,0534;7,1294;2,3396;6,2708;5;9,872;2,731;7,407
56;3,3504;7,8756;2,5014;6,7851;5,516;10,882;2,952;7,992
57;3,656;8,6884;2,6811;7,347;6,094;11,998;3,227;8,61
58;3,9654;9,5704;2,8805;7,9621;6,706;13,231;3,563;9,262
59;4,2734;10,5241;3,1012;8,6361;7,382;14,591;3,966;9,969
60;4,5752;11,5521;3,3448;9,3744;8,13;16,093;4,444;10,757
61;4,8654;12,6571;3,5914;10,1828;8,958;17,749;5,002;11,635
62;5,1379;13,8417;3,8417;11,0668;9,872;19,575;5,647;12,614
63;5,5084;15,1083;4,1264;11,9579;10,882;21,587;6,386;13,703
64;6,09;16,4598;4,4735;12,8181;11,998;23,803;7,226;14,916
65;6,8875;18,0706;4,9086;13,6967;13,231;26,242;8,171;16,266
66;7,9057;20,0313;5,4484;14,64;14,591;28,925;9,235;17,768
67;9,1493;22,3416;6,0827;15,6913;16,093;31,873;10,432;19,439
68;10,6232;25,0018;6,7954;16,8912;17,749;35,111;11,78;21,295
69;12,332;28,0117;7,5719;18,2776;19,575;38,662;13,297;23,357
70;14,2806;31,3714;8,3984;19,8861;21,587;42,555;15,002;25,647
71;16,4736;35,0808;9,2619;21,7496;23,803;46,816;16,919;28,187
72;18,916;39,14;10,1507;23,8892;26,242;51,476;19,071;31,003
