,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
0,0.347254782,0.333638727,0.320556566,0.307987363,0.295911006,0.284308169,0.273160287,0.262449519,0.252158726,0.242271441,0.232771842,0.223644727,0.214875492,0.206450103,0.198355079,0.190577465,0.183104816,0.175925173,0.169027049,0.162399403,0.156031632,0.149913544,0.14403535,0.138387643,0.132961386,0.127747895,0.122738829,0.11792617,0.113302219,0.108859575,0.10459113,0.100490054,0.096549782,0.092764011,0.089126682,0.085631975,0.082274297,0.079048276,0.075948749,0.072970756,0.070109531,0.067360497,0.064719254,0.062181576,0.059743402,0.057400829,0.055150111,0.052987644,0.050909969,0.04891376,0.046995824,0.045153092,0.043382614,0.041681557,0.0400472,0.038476927,0.036968225,0.03551868,0.034125973,0.032787874,0.031502243,0.030267022,0.029080236,0.027939983,0.026844441,0.025791855,0.024780542,0.023808883,0.022875324,0.021978369,0.021116585,0.020288592,0.019493065,0.018728731,0.017994367,0.017288798,0.016610894,0.015959572,0.015333788,0.014732541,0.01415487,0.01359985,0.013066592,0.012554244,0.012061985,0.011589028,0.011134615,0.010698021,0.010278545,0.009875518,0.009488293,0.009116252,0.008758799,0.008415361,0.00808539,0.007768358,0.007463756,0.007171098,0.006889915,0.006619758,0.006360193,0.006110806,0.005871198,0.005640985,0.005419799,0.005207286,0.005003105,0.004806931,0.004618448,0.004437356,0.004263365,0.004096196,0.003935582,0.003781266,0.003633,0.003490548,0.003353682,0.003222182,0.003095838,0.002974449,0.002857819,0.002745762,0.002638099,0.002534658,0.002435273,0.002339784,0.00224804,0.002159893,0.002075203,0.001993833,0.001915653,0.00184054,0.001768371,0.001699032,0.001632412,0.001568404,0.001506906,0.00144782,0.00139105,0.001336506
1,0.027367008,0.026293932,0.025262933,0.024272359,0.023320626,0.022406211,0.021527651,0.02068354,0.019872527,0.019093314,0.018344654,0.01762535,0.01693425,0.016270249,0.015632283,0.015019333,0.014430416,0.013864591,0.013320953,0.012798631,0.012296789,0.011814625,0.011351367,0.010906274,0.010478633,0.01006776,0.009672997,0.009293714,0.008929302,0.008579179,0.008242784,0.00791958,0.007609049,0.007310694,0.007024038,0.006748621,0.006484004,0.006229762,0.00598549,0.005750796,0.005525304,0.005308653,0.005100498,0.004900505,0.004708353,0.004523736,0.004346358,0.004175935,0.004012194,0.003854874,0.003703722,0.003558497,0.003418966,0.003284907,0.003156104,0.003032351,0.002913451,0.002799213,0.002689454,0.002583999,0.002482679,0.002385332,0.002291802,0.002201939,0.002115599,0.002032646,0.001952944,0.001876368,0.001802795,0.001732106,0.001664189,0.001598936,0.001536241,0.001476004,0.001418129,0.001362523,0.001309098,0.001257767,0.00120845,0.001161066,0.00111554,0.001071799,0.001029773,0.000989395,0.0009506,0.000913327,0.000877515,0.000843107,0.000810048,0.000778286,0.000747769,0.000718448,0.000690277,0.000663211,0.000637206,0.000612221,0.000588216,0.000565151,0.000542991,0.0005217,0.000501244,0.00048159,0.000462707,0.000444564,0.000427132,0.000410384,0.000394293,0.000378832,0.000363978,0.000349706,0.000335994,0.00032282,0.000310162,0.000298,0.000286315,0.000275089,0.000264302,0.000253939,0.000243982,0.000234415,0.000225224,0.000216392,0.000207908,0.000199755,0.000191923,0.000184397,0.000177167,0.00017022,0.000163546,0.000157133,0.000150972,0.000145052,0.000139365,0.0001339,0.00012865,0.000123605,0.000118759,0.000114102,0.000109628,0.000105329
2,0.019499863,0.018735262,0.018000642,0.017294827,0.016616687,0.015965137,0.015339135,0.014737679,0.014159806,0.013604593,0.013071149,0.012558622,0.012066191,0.011593069,0.011138498,0.010701752,0.01028213,0.009878962,0.009491602,0.009119431,0.008761853,0.008418296,0.00808821,0.007771067,0.007466359,0.007173599,0.006892318,0.006622066,0.006362411,0.006112937,0.005873246,0.005642953,0.005421689,0.005209102,0.00500485,0.004808607,0.004620059,0.004438904,0.004264852,0.004097625,0.003936954,0.003782584,0.003634267,0.003491765,0.003354851,0.003223306,0.003096918,0.002975486,0.002858816,0.00274672,0.002639019,0.002535542,0.002436122,0.0023406,0.002248824,0.002160646,0.002075926,0.001994528,0.001916321,0.001841181,0.001768988,0.001699625,0.001632981,0.001568951,0.001507432,0.001448325,0.001391535,0.001336972,0.001284549,0.001234181,0.001185788,0.001139292,0.00109462,0.001051699,0.001010462,0.000970841,0.000932774,0.000896199,0.000861059,0.000827296,0.000794857,0.000763691,0.000733746,0.000704975,0.000677333,0.000650774,0.000625257,0.00060074,0.000577185,0.000554553,0.000532809,0.000511917,0.000491845,0.000472559,0.00045403,0.000436227,0.000419122,0.000402688,0.000386899,0.000371728,0.000357152,0.000343148,0.000329693,0.000316766,0.000304345,0.000292412,0.000280946,0.00026993,0.000259346,0.000249177,0.000239406,0.000230019,0.000221,0.000212334,0.000204009,0.000196009,0.000188324,0.000180939,0.000173845,0.000167028,0.000160479,0.000154186,0.000148141,0.000142332,0.000136751,0.000131389,0.000126237,0.000121287,0.000116532,0.000111962,0.000107572,0.000103354,9.93017E-05,9.5408E-05,9.1667E-05,8.80727E-05,8.46193E-05,8.13014E-05,7.81135E-05,7.50506E-05
3,0.012631466,0.012136179,0.011660313,0.011203106,0.010763826,0.01034177,0.009936263,0.009546657,0.009172327,0.008812675,0.008467125,0.008135124,0.007816142,0.007509666,0.007215208,0.006932296,0.006660476,0.006399315,0.006148395,0.005907313,0.005675684,0.005453137,0.005239316,0.00503388,0.004836499,0.004646857,0.004464651,0.004289589,0.004121392,0.00395979,0.003804525,0.003655347,0.003512019,0.003374311,0.003242002,0.003114881,0.002992745,0.002875398,0.002762652,0.002654327,0.002550249,0.002450252,0.002354177,0.002261868,0.002173179,0.002087967,0.002006097,0.001927437,0.001851861,0.001779248,0.001709483,0.001642453,0.001578052,0.001516175,0.001456725,0.001399606,0.001344727,0.001292,0.001241339,0.001192666,0.001145901,0.001100969,0.0010578,0.001016323,0.000976472,0.000938184,0.000901397,0.000866053,0.000832095,0.000799468,0.00076812,0.000738002,0.000709064,0.000681262,0.000654549,0.000628884,0.000604225,0.000580533,0.00055777,0.000535899,0.000514886,0.000494697,0.0004753,0.000456663,0.000438757,0.000421553,0.000405024,0.000389143,0.000373884,0.000359224,0.000345139,0.000331606,0.000318603,0.000306111,0.000294108,0.000282576,0.000271496,0.00026085,0.000250622,0.000240795,0.000231353,0.000222282,0.000213566,0.000205192,0.000197146,0.000189416,0.000181989,0.000174853,0.000167997,0.00016141,0.000155081,0.000149,0.000143158,0.000137544,0.000132151,0.000126969,0.000121991,0.000117208,0.000112612,0.000108196,0.000103954,9.98777E-05,9.59614E-05,9.21987E-05,8.85836E-05,8.51102E-05,8.17729E-05,7.85666E-05,7.54859E-05,7.25261E-05,6.96823E-05,6.695E-05,6.43249E-05,6.18027E-05,5.93793E-05,5.7051E-05,5.4814E-05,5.26647E-05,5.05997E-05,4.86157E-05
4,0.011728925,0.011269027,0.010827162,0.010402623,0.009994731,0.009602832,0.009226299,0.008864531,0.008516948,0.008182993,0.007862134,0.007553855,0.007257664,0.006973087,0.006699668,0.006436971,0.006184573,0.005942073,0.005709081,0.005485224,0.005270146,0.0050635,0.004864958,0.0046742,0.004490922,0.00431483,0.004145643,0.00398309,0.003826911,0.003676856,0.003532684,0.003394166,0.003261079,0.00313321,0.003010355,0.002892317,0.002778908,0.002669945,0.002565255,0.00246467,0.002368029,0.002275177,0.002185966,0.002100253,0.002017901,0.001938778,0.001862758,0.001789718,0.001719542,0.001652118,0.001587337,0.001525097,0.001465297,0.001407842,0.00135264,0.001299602,0.001248644,0.001199684,0.001152644,0.001107448,0.001064024,0.001022303,0.000982218,0.000943705,0.000906702,0.000871149,0.000836991,0.000804172,0.00077264,0.000742344,0.000713237,0.00068527,0.0006584,0.000632584,0.00060778,0.000583949,0.000561052,0.000539053,0.000517916,0.000497608,0.000478097,0.00045935,0.000441339,0.000424034,0.000407407,0.000391433,0.000376084,0.000361338,0.00034717,0.000333557,0.000320478,0.000307912,0.000295838,0.000284238,0.000273093,0.000262385,0.000252097,0.000242212,0.000232715,0.00022359,0.000214823,0.000206399,0.000198306,0.000190531,0.00018306,0.000175882,0.000168986,0.00016236,0.000155993,0.000149877,0.000144,0.000138354,0.000132929,0.000127717,0.000122709,0.000117897,0.000113274,0.000108833,0.000104565,0.000100465,9.65261E-05,9.27412E-05,8.91048E-05,8.5611E-05,8.22541E-05,7.90289E-05,7.59301E-05,7.29528E-05,7.00923E-05,6.7344E-05,6.47034E-05,6.21663E-05,5.97287E-05,5.73867E-05,5.51366E-05,5.29746E-05,5.08975E-05,4.89018E-05,4.69843E-05,4.5142E-05
5,0.009312599,0.008947447,0.008596612,0.008259534,0.007935673,0.007624511,0.00732555,0.007038311,0.006762335,0.00649718,0.006242422,0.005997653,0.005762482,0.005536531,0.005319441,0.005110863,0.004910463,0.004717921,0.004532929,0.00435519,0.00418442,0.004020347,0.003862707,0.003711248,0.003565728,0.003425914,0.003291582,0.003162517,0.003038513,0.002919371,0.002804901,0.002694919,0.00258925,0.002487724,0.002390179,0.002296459,0.002206413,0.002119899,0.002036776,0.001956913,0.001880181,0.001806458,0.001735626,0.001667571,0.001602185,0.001539362,0.001479003,0.00142101,0.001365292,0.001311758,0.001260323,0.001210905,0.001163425,0.001117806,0.001073977,0.001031865,0.000991405,0.000952532,0.000915182,0.000879298,0.00084482,0.000811694,0.000779867,0.000749288,0.000719908,0.00069168,0.000664559,0.000638501,0.000613465,0.000589411,0.0005663,0.000544095,0.000522761,0.000502263,0.000482569,0.000463647,0.000445467,0.000428,0.000411218,0.000395094,0.000379602,0.000364718,0.000350417,0.000336677,0.000323476,0.000310792,0.000298606,0.000286897,0.000275648,0.000264839,0.000254455,0.000244478,0.000234891,0.000225681,0.000216832,0.00020833,0.000200161,0.000192313,0.000184772,0.000177527,0.000170566,0.000163878,0.000157452,0.000151279,0.000145347,0.000139648,0.000134172,0.000128911,0.000123856,0.000119,0.000114334,0.000109851,0.000105544,0.000101405,9.7429E-05,9.36087E-05,8.99383E-05,8.64117E-05,8.30235E-05,7.97681E-05,7.66403E-05,7.36352E-05,7.07479E-05,6.79739E-05,6.53086E-05,6.27478E-05,6.02874E-05,5.79235E-05,5.56523E-05,5.34701E-05,5.13736E-05,4.93592E-05,4.74238E-05,4.55643E-05,4.37777E-05,4.20611E-05,4.04119E-05,3.88273E-05,3.73049E-05,3.58421E-05
6,0.008120372,0.007801968,0.007496048,0.007202124,0.006919724,0.006648398,0.006387711,0.006137245,0.0058966,0.005665391,0.005443248,0.005229815,0.005024751,0.004827728,0.00463843,0.004456555,0.004281811,0.004113918,0.003952609,0.003797625,0.003648718,0.00350565,0.003368191,0.003236123,0.003109233,0.002987318,0.002870183,0.002757642,0.002649513,0.002545624,0.002445809,0.002349907,0.002257766,0.002169238,0.002084181,0.002002459,0.001923942,0.001848503,0.001776022,0.001706383,0.001639475,0.00157519,0.001513426,0.001454084,0.001397068,0.001342288,0.001289657,0.001239088,0.001190503,0.001143823,0.001098973,0.001055881,0.00101448,0.000974701,0.000936483,0.000899763,0.000864483,0.000830586,0.000798018,0.000766727,0.000736664,0.000707779,0.000680026,0.000653362,0.000627743,0.000603129,0.00057948,0.000556758,0.000534928,0.000513953,0.0004938,0.000474438,0.000455835,0.000437962,0.000420789,0.00040429,0.000388437,0.000373206,0.000358573,0.000344513,0.000331004,0.000318025,0.000305555,0.000293574,0.000282063,0.000271003,0.000260377,0.000250168,0.000240358,0.000230934,0.000221879,0.000213179,0.00020482,0.000196789,0.000189073,0.000181659,0.000174536,0.000167692,0.000161117,0.0001548,0.00014873,0.000142898,0.000137295,0.000131911,0.000126739,0.00012177,0.000116995,0.000112408,0.000108,0.000103765,9.96966E-05,9.57874E-05,9.20315E-05,8.84229E-05,8.49558E-05,8.16246E-05,7.84241E-05,7.5349E-05,7.23946E-05,6.95559E-05,6.68286E-05,6.42082E-05,6.16906E-05,5.92717E-05,5.69476E-05,5.47146E-05,5.25692E-05,5.0508E-05,4.85275E-05,4.66247E-05,4.47966E-05,4.30401E-05,4.13524E-05,3.9731E-05,3.81731E-05,3.66763E-05,3.52382E-05,3.38565E-05,3.2529E-05,3.12535E-05
7,0.007079563,0.006801969,0.00653526,0.006279009,0.006032806,0.005796256,0.005568982,0.005350619,0.005140818,0.004939244,0.004745573,0.004559496,0.004380716,0.004208946,0.004043911,0.003885347,0.003733,0.003586627,0.003445993,0.003310874,0.003181053,0.003056322,0.002936482,0.002821341,0.002710714,0.002604426,0.002502305,0.002404188,0.002309918,0.002219345,0.002132323,0.002048714,0.001968383,0.001891201,0.001817046,0.001745799,0.001677345,0.001611575,0.001548385,0.001487672,0.001429339,0.001373294,0.001319446,0.00126771,0.001218002,0.001170244,0.001124358,0.001080271,0.001037913,0.000997216,0.000958115,0.000920546,0.000884451,0.000849771,0.000816451,0.000784438,0.00075368,0.000724127,0.000695734,0.000668454,0.000642243,0.000617061,0.000592865,0.000569619,0.000547284,0.000525824,0.000505207,0.000485397,0.000466364,0.000448078,0.000430509,0.000413628,0.00039741,0.000381827,0.000366855,0.000352471,0.00033865,0.000325371,0.000312613,0.000300356,0.000288579,0.000277263,0.000266392,0.000255946,0.00024591,0.000236268,0.000227004,0.000218103,0.000209551,0.000201334,0.00019344,0.000185855,0.000178568,0.000171566,0.000164839,0.000158375,0.000152165,0.000146199,0.000140466,0.000134959,0.000129667,0.000124582,0.000119697,0.000115004,0.000110495,0.000106162,0.000101999,0.000098,9.41574E-05,9.04654E-05,8.69182E-05,8.35101E-05,8.02356E-05,7.70895E-05,7.40668E-05,7.11626E-05,6.83723E-05,6.56914E-05,6.31156E-05,6.06408E-05,5.8263E-05,5.59785E-05,5.37835E-05,5.16747E-05,4.96485E-05,4.77017E-05,4.58313E-05,4.40342E-05,4.23076E-05,4.06487E-05,3.90549E-05,3.75235E-05,3.60522E-05,3.46386E-05,3.32804E-05,3.19754E-05,3.07216E-05,2.9517E-05,2.83597E-05,2.72477E-05
8,0.005760852,0.005534965,0.005317936,0.005109417,0.004909074,0.004716586,0.004531646,0.004353958,0.004183237,0.00401921,0.003861614,0.003710198,0.003564719,0.003424945,0.003290651,0.003161622,0.003037653,0.002918545,0.002804108,0.002694157,0.002588518,0.00248702,0.002389503,0.002295809,0.002205789,0.002119299,0.0020362,0.001956359,0.00187965,0.001805947,0.001735135,0.0016671,0.001601732,0.001538927,0.001478585,0.001420609,0.001364906,0.001311387,0.001259967,0.001210563,0.001163096,0.00111749,0.001073673,0.001031574,0.000991125,0.000952262,0.000914924,0.000879049,0.000844581,0.000811464,0.000779646,0.000749076,0.000719704,0.000691484,0.000664371,0.000638321,0.000613292,0.000589244,0.00056614,0.000543941,0.000522613,0.000502121,0.000482432,0.000463516,0.000445341,0.000427879,0.000411102,0.000394982,0.000379495,0.000364614,0.000350318,0.000336582,0.000323384,0.000310704,0.000298521,0.000286816,0.00027557,0.000264764,0.000254383,0.000244408,0.000234825,0.000225617,0.000216771,0.000208271,0.000200105,0.000192258,0.00018472,0.000177477,0.000170518,0.000163832,0.000157408,0.000151236,0.000145306,0.000139608,0.000134134,0.000128875,0.000123821,0.000118966,0.000114302,0.00010982,0.000105514,0.000101376,9.74014E-05,9.35822E-05,8.99128E-05,8.63873E-05,0.000083,7.97455E-05,7.66187E-05,7.36144E-05,7.07279E-05,6.79547E-05,6.52901E-05,6.27301E-05,6.02704E-05,5.79071E-05,5.56366E-05,5.3455E-05,5.1359E-05,4.93452E-05,4.74104E-05,4.55514E-05,4.37653E-05,4.20492E-05,4.04004E-05,3.88163E-05,3.72943E-05,3.5832E-05,3.4427E-05,3.30771E-05,3.17801E-05,3.0534E-05,2.93367E-05,2.81864E-05,2.70812E-05,2.60194E-05,2.49991E-05,2.40189E-05,2.30771E-05,2.21722E-05
9,0.005134847,0.004933507,0.004740062,0.004554201,0.004375628,0.004204058,0.004039214,0.003880834,0.003728665,0.003582462,0.003441991,0.003307029,0.003177358,0.003052772,0.002933071,0.002818064,0.002707566,0.002601401,0.002499399,0.002401396,0.002307236,0.002216768,0.002129847,0.002046334,0.001966097,0.001889005,0.001814936,0.001743771,0.001675397,0.001609704,0.001546586,0.001485944,0.001427679,0.001371699,0.001317914,0.001266238,0.001216588,0.001168885,0.001123052,0.001079017,0.001036708,0.000996058,0.000957002,0.000919477,0.000883424,0.000848785,0.000815503,0.000783527,0.000752804,0.000723287,0.000694926,0.000667678,0.000641498,0.000616344,0.000592177,0.000568957,0.000546648,0.000525214,0.00050462,0.000484833,0.000465823,0.000447558,0.000430009,0.000413148,0.000396948,0.000381383,0.000366429,0.000352061,0.000338257,0.000324994,0.00031225,0.000300007,0.000288243,0.000276941,0.000266082,0.000255649,0.000245625,0.000235994,0.00022674,0.00021785,0.000209308,0.000201101,0.000193215,0.000185639,0.00017836,0.000171367,0.000164647,0.000158191,0.000151989,0.000146029,0.000140303,0.000134802,0.000129516,0.000124438,0.000119558,0.000114871,0.000110366,0.000106039,0.000101881,9.78862E-05,9.4048E-05,9.03603E-05,8.68173E-05,8.34131E-05,8.01424E-05,0.000077,7.39808E-05,7.108E-05,6.82929E-05,6.56151E-05,6.30423E-05,6.05703E-05,5.81953E-05,5.59135E-05,5.37211E-05,5.16146E-05,4.95908E-05,4.76463E-05,4.57781E-05,4.39831E-05,4.22585E-05,4.06015E-05,3.90095E-05,3.74799E-05,3.60103E-05,3.45983E-05,3.32417E-05,3.19383E-05,3.0686E-05,2.94828E-05,2.83267E-05,2.7216E-05,2.61489E-05,2.51235E-05,2.41384E-05,2.3192E-05,2.22826E-05,2.14089E-05,2.05694E-05,1.97629E-05
