,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
0,0.307300888,0.295251447,0.283674473,0.272551437,0.261864543,0.251596687,0.24173144,0.232253015,0.223146244,0.214396554,0.205989945,0.197912964,0.190152686,0.182696692,0.175533052,0.168650303,0.16203743,0.155683851,0.1495794,0.143714308,0.13807919,0.132665027,0.127463157,0.122465255,0.117663324,0.113049679,0.108616938,0.104358006,0.100266071,0.096334582,0.092557249,0.088928027,0.085441109,0.082090915,0.078872085,0.075779466,0.072808111,0.069953264,0.067210357,0.064575001,0.062042979,0.059610239,0.057272888,0.055027186,0.052869539,0.050796495,0.048804736,0.046891075,0.04505245,0.043285918,0.041588653,0.039957938,0.038391165,0.036885826,0.035439512,0.034049909,0.032714793,0.031432028,0.03019956,0.029015418,0.027877708,0.026784607,0.025734368,0.024725309,0.023755815,0.022824337,0.021929381,0.021069518,0.020243371,0.019449617,0.018686986,0.017954259,0.017250262,0.01657387,0.015923999,0.01529961,0.014699704,0.01412332,0.013569537,0.013037468,0.012526261,0.0120351,0.011563197,0.011109797,0.010674176,0.010255635,0.009853506,0.009467145,0.009095933,0.008739276,0.008396604,0.008067369,0.007751043,0.00744712,0.007155114,0.006874558,0.006605003,0.006346017,0.006097186,0.005858112,0.005628412,0.005407719,0.005195679,0.004991954,0.004796216,0.004608154,0.004427466,0.004253862,0.004087066,0.00392681,0.003772837,0.003624902,0.003482768,0.003346207,0.003215,0.003088938,0.002967819,0.002851449,0.002739642,0.002632219,0.002529009,0.002429845,0.002334569,0.002243029,0.002155079,0.002070577,0.001989389,0.001911384,0.001836437,0.001764429,0.001695245,0.001628774,0.001564909,0.001503548,0.001444593,0.001387949,0.001333527,0.001281239,0.001231001,0.001182732
1,0.024244598,0.023293954,0.022380585,0.021503029,0.020659883,0.019849798,0.019071476,0.018323673,0.017605191,0.016914882,0.01625164,0.015614404,0.015002155,0.014413912,0.013848734,0.013305717,0.012783993,0.012282725,0.011801113,0.011338384,0.0108938,0.010466648,0.010056245,0.009661934,0.009283084,0.008919089,0.008569367,0.008233357,0.007910522,0.007600346,0.007302333,0.007016004,0.006740903,0.006476588,0.006222637,0.005978644,0.005744218,0.005518984,0.005302582,0.005094665,0.0048949,0.004702968,0.004518562,0.004341387,0.004171159,0.004007605,0.003850465,0.003699486,0.003554427,0.003415056,0.00328115,0.003152494,0.003028883,0.002910119,0.002796011,0.002686378,0.002581044,0.002479839,0.002382604,0.00228918,0.00219942,0.00211318,0.002030321,0.001950711,0.001874222,0.001800733,0.001730125,0.001662286,0.001597107,0.001534483,0.001474316,0.001416507,0.001360965,0.001307601,0.001256329,0.001207067,0.001159738,0.001114264,0.001070573,0.001028595,0.000988263,0.000949513,0.000912282,0.000876511,0.000842142,0.000809122,0.000777395,0.000746913,0.000717626,0.000689488,0.000662453,0.000636478,0.000611521,0.000587543,0.000564505,0.00054237,0.000521104,0.000500671,0.000481039,0.000462178,0.000444055,0.000426644,0.000409915,0.000393842,0.000378399,0.000363562,0.000349306,0.00033561,0.00032245,0.000309807,0.000297659,0.000285988,0.000274774,0.000264,0.000253648,0.000243703,0.000234147,0.000224966,0.000216145,0.00020767,0.000199527,0.000191703,0.000184187,0.000176964,0.000170026,0.000163359,0.000156953,0.000150799,0.000144886,0.000139205,0.000133747,0.000128503,0.000123464,0.000118623,0.000113972,0.000109503,0.000105209,0.000101084,9.71202E-05,9.3312E-05
2,0.017293996,0.016615889,0.01596437,0.015338398,0.014736971,0.014159126,0.013603939,0.013070521,0.012558018,0.012065611,0.011592512,0.011137963,0.010701237,0.010281636,0.009878487,0.009491146,0.009118993,0.008761432,0.008417891,0.008087821,0.007770693,0.007466,0.007173254,0.006891987,0.006621748,0.006362106,0.006112644,0.005872964,0.005642681,0.005421429,0.005208851,0.005004609,0.004808376,0.004619837,0.00443869,0.004264647,0.004097428,0.003936765,0.003782402,0.003634092,0.003491598,0.00335469,0.003223151,0.003096769,0.002975343,0.002858678,0.002746588,0.002638893,0.00253542,0.002436005,0.002340488,0.002248716,0.002160543,0.002075826,0.001994432,0.001916229,0.001841093,0.001768903,0.001699543,0.001632903,0.001568876,0.001507359,0.001448255,0.001391468,0.001336908,0.001284487,0.001234121,0.001185731,0.001139238,0.001094568,0.001051649,0.001010413,0.000970794,0.000932729,0.000896156,0.000861017,0.000827256,0.000794819,0.000763654,0.000733711,0.000704941,0.0006773,0.000650743,0.000625227,0.000600711,0.000577157,0.000554527,0.000532783,0.000511893,0.000491821,0.000472536,0.000454008,0.000436206,0.000419102,0.000402669,0.00038688,0.00037171,0.000357135,0.000343132,0.000329677,0.000316751,0.000304331,0.000292398,0.000280933,0.000269917,0.000259333,0.000249165,0.000239395,0.000230008,0.000220989,0.000212324,0.000203999,0.000196,0.000188315,0.000180931,0.000173836,0.00016702,0.000160471,0.000154179,0.000148134,0.000142325,0.000136745,0.000131383,0.000126231,0.000121282,0.000116526,0.000111957,0.000107567,0.000103349,9.92969E-05,9.54034E-05,9.16626E-05,8.80685E-05,8.46153E-05,8.12975E-05,7.81097E-05,7.5047E-05,7.21044E-05,6.92771E-05,6.65607E-05
3,0.011190292,0.010751515,0.010329942,0.009924899,0.009535738,0.009161836,0.008802596,0.008457441,0.00812582,0.007807202,0.007501077,0.007206956,0.006924367,0.006652859,0.006391996,0.006141363,0.005900556,0.005669192,0.0054469,0.005233324,0.005028122,0.004830967,0.004641542,0.004459545,0.004284683,0.004116678,0.003955261,0.003800173,0.003651166,0.003508002,0.003370451,0.003238294,0.003111319,0.002989322,0.002872109,0.002759492,0.002651291,0.002547332,0.00244745,0.002351484,0.002259281,0.002170693,0.002085579,0.002003803,0.001925232,0.001849743,0.001777213,0.001707528,0.001640575,0.001576247,0.001514441,0.001455059,0.001398006,0.001343189,0.001290522,0.00123992,0.001191302,0.00114459,0.00109971,0.00105659,0.00101516,0.000975355,0.000937111,0.000900367,0.000865063,0.000831143,0.000798553,0.000767242,0.000737158,0.000708253,0.000680482,0.0006538,0.000628164,0.000603534,0.000579869,0.000557132,0.000535286,0.000514298,0.000494132,0.000474756,0.000456141,0.000438255,0.000421071,0.000404561,0.000388698,0.000373457,0.000358813,0.000344744,0.000331226,0.000318239,0.00030576,0.000293771,0.000282252,0.000271185,0.000260552,0.000250335,0.00024052,0.000231089,0.000222028,0.000213322,0.000204957,0.000196921,0.000189199,0.000181781,0.000174653,0.000167805,0.000161225,0.000154903,0.00014883,0.000142994,0.000137387,0.000132,0.000126824,0.000121851,0.000117073,0.000112483,0.000108072,0.000103835,9.97635E-05,9.58517E-05,9.20933E-05,8.84822E-05,8.50128E-05,8.16794E-05,7.84767E-05,7.53996E-05,7.24431E-05,6.96026E-05,6.68734E-05,6.42513E-05,6.1732E-05,5.93114E-05,5.69858E-05,5.47513E-05,5.26045E-05,5.05419E-05,4.85601E-05,4.6656E-05,4.48266E-05,4.30689E-05
4,0.010425711,0.010016913,0.009624144,0.009246776,0.008884205,0.00853585,0.008201155,0.007879583,0.00757062,0.007273772,0.006988563,0.006714538,0.006451257,0.0061983,0.005955261,0.005721752,0.005497399,0.005281842,0.005074738,0.004875755,0.004684574,0.004500889,0.004324407,0.004154844,0.003991931,0.003835405,0.003685016,0.003540525,0.003401699,0.003268316,0.003140164,0.003017036,0.002898737,0.002785076,0.002675871,0.002570949,0.00247014,0.002373285,0.002280227,0.002190818,0.002104915,0.00202238,0.001943081,0.001866892,0.00179369,0.001723358,0.001655785,0.00159086,0.001528482,0.001468549,0.001410967,0.001355642,0.001302486,0.001251415,0.001202346,0.001155202,0.001109906,0.001066386,0.001024572,0.000984398,0.000945799,0.000908714,0.000873083,0.000838849,0.000805957,0.000774355,0.000743992,0.00071482,0.000686791,0.000659862,0.000633988,0.000609129,0.000585245,0.000562297,0.000540249,0.000519066,0.000498713,0.000479158,0.00046037,0.000442319,0.000424975,0.000408311,0.000392301,0.000376919,0.00036214,0.00034794,0.000334297,0.000321189,0.000308595,0.000296495,0.000284869,0.000273699,0.000262967,0.000252656,0.00024275,0.000233231,0.000224086,0.0002153,0.000206858,0.000198747,0.000190954,0.000183466,0.000176272,0.000169361,0.00016272,0.00015634,0.000150209,0.00014432,0.000138661,0.000133224,0.000128,0.000122981,0.000118159,0.000113526,0.000109074,0.000104798,0.000100688,9.67403E-05,9.29471E-05,8.93026E-05,8.5801E-05,8.24367E-05,7.92043E-05,7.60986E-05,7.31148E-05,7.02479E-05,6.74934E-05,6.4847E-05,6.23043E-05,5.98613E-05,5.75141E-05,5.52589E-05,5.30922E-05,5.10104E-05,4.90103E-05,4.70886E-05,4.52422E-05,4.34682E-05,4.17638E-05,4.01262E-05
5,0.008216999,0.007894806,0.007585246,0.007287824,0.007002065,0.00672751,0.00646372,0.006210274,0.005966766,0.005732806,0.005508019,0.005292047,0.005084543,0.004885175,0.004693624,0.004509585,0.004332761,0.004162871,0.003999643,0.003842815,0.003692136,0.003547365,0.003408271,0.003274631,0.003146231,0.003022865,0.002904337,0.002790456,0.002681041,0.002575916,0.002474913,0.00237787,0.002284632,0.002195051,0.002108981,0.002026287,0.001946835,0.001870499,0.001797155,0.001726688,0.001658984,0.001593934,0.001531435,0.001471386,0.001413692,0.001358261,0.001305003,0.001253833,0.001204669,0.001157434,0.00111205,0.001068446,0.001026551,0.0009863,0.000947626,0.000910469,0.000874769,0.000840469,0.000807514,0.000775851,0.000745429,0.000716201,0.000688118,0.000661137,0.000635213,0.000610306,0.000586375,0.000563383,0.000541293,0.000520068,0.000499676,0.000480084,0.000461259,0.000443173,0.000425796,0.0004091,0.000393059,0.000377647,0.000362839,0.000348612,0.000334943,0.00032181,0.000309191,0.000297068,0.00028542,0.000274228,0.000263475,0.000253144,0.000243219,0.000233682,0.000224519,0.000215715,0.000207257,0.00019913,0.000191322,0.000183821,0.000176613,0.000169688,0.000163034,0.000156642,0.0001505,0.000144598,0.000138929,0.000133481,0.000128247,0.000123219,0.000118387,0.000113745,0.000109285,0.000105,0.000100883,9.69272E-05,9.31266E-05,8.94751E-05,8.59667E-05,8.25959E-05,7.93573E-05,7.62456E-05,7.3256E-05,7.03836E-05,6.76238E-05,6.49723E-05,6.24247E-05,5.9977E-05,5.76252E-05,5.53657E-05,5.31948E-05,5.1109E-05,4.9105E-05,4.71795E-05,4.53296E-05,4.35522E-05,4.18445E-05,4.02038E-05,3.86273E-05,3.71127E-05,3.56575E-05,3.42594E-05,3.2916E-05,3.16254E-05
6,0.007218108,0.006935082,0.006663154,0.006401888,0.006150866,0.005909687,0.005677965,0.005455329,0.005241422,0.005035903,0.004838443,0.004648725,0.004466446,0.004291314,0.004123049,0.003961382,0.003806054,0.003656816,0.003513431,0.003375667,0.003243305,0.003116133,0.002993948,0.002876554,0.002763762,0.002655394,0.002551274,0.002451237,0.002355123,0.002262777,0.002174052,0.002088807,0.002006903,0.001928212,0.001852605,0.001779964,0.00171017,0.001643113,0.001578686,0.001516785,0.001457311,0.001400169,0.001345268,0.001292519,0.001241838,0.001193145,0.001146361,0.001101412,0.001058225,0.001016731,0.000976865,0.000938561,0.00090176,0.000866401,0.000832429,0.000799789,0.000768429,0.000738298,0.000709349,0.000681535,0.000654812,0.000629136,0.000604468,0.000580766,0.000557994,0.000536115,0.000515093,0.000494896,0.000475491,0.000456847,0.000438934,0.000421723,0.000405187,0.000389299,0.000374035,0.000359368,0.000345277,0.000331739,0.000318731,0.000306234,0.000294226,0.000282689,0.000271605,0.000260955,0.000250723,0.000240892,0.000231446,0.000222371,0.000213652,0.000205275,0.000197226,0.000189492,0.000182062,0.000174923,0.000168065,0.000161475,0.000155143,0.00014906,0.000143215,0.0001376,0.000132204,0.00012702,0.00012204,0.000117255,0.000112657,0.00010824,0.000103996,9.99178E-05,0.000096,9.22358E-05,8.86192E-05,8.51444E-05,8.18058E-05,7.85982E-05,7.55163E-05,7.25552E-05,6.97103E-05,6.69769E-05,6.43507E-05,6.18275E-05,5.94032E-05,5.7074E-05,5.48361E-05,5.26859E-05,5.06201E-05,4.86352E-05,4.67282E-05,4.4896E-05,4.31356E-05,4.14442E-05,3.98192E-05,3.82578E-05,3.67577E-05,3.53164E-05,3.39316E-05,3.26012E-05,3.13229E-05,3.00947E-05,2.89146E-05,2.77809E-05
7,0.006284918,0.006038483,0.005801711,0.005574222,0.005355654,0.005145656,0.004943892,0.004750039,0.004563787,0.004384839,0.004212907,0.004047716,0.003889003,0.003736513,0.003590002,0.003449236,0.00331399,0.003184046,0.003059198,0.002939245,0.002823996,0.002713265,0.002606877,0.00250466,0.00240645,0.002312092,0.002221434,0.00213433,0.002050642,0.001970235,0.001892981,0.001818756,0.001747442,0.001678924,0.001613092,0.001549842,0.001489072,0.001430684,0.001374586,0.001320688,0.001268903,0.001219149,0.001171345,0.001125416,0.001081288,0.00103889,0.000998155,0.000959016,0.000921413,0.000885284,0.000850571,0.00081722,0.000785176,0.000754389,0.000724809,0.000696389,0.000669083,0.000642848,0.000617641,0.000593423,0.000570155,0.000547799,0.000526319,0.000505682,0.000485854,0.000466803,0.0004485,0.000430914,0.000414017,0.000397784,0.000382186,0.000367201,0.000352802,0.000338969,0.000325678,0.000312908,0.000300638,0.00028885,0.000277524,0.000266642,0.000256187,0.000246142,0.000236491,0.000227218,0.000218308,0.000209748,0.000201524,0.000193622,0.00018603,0.000178736,0.000171727,0.000164994,0.000158524,0.000152309,0.000146336,0.000140598,0.000135086,0.000129789,0.0001247,0.00011981,0.000115112,0.000110599,0.000106262,0.000102095,9.80922E-05,9.4246E-05,9.05505E-05,0.000087,8.35887E-05,8.03111E-05,7.71621E-05,7.41365E-05,7.12296E-05,6.84366E-05,6.57532E-05,6.3175E-05,6.06978E-05,5.83178E-05,5.60312E-05,5.38342E-05,5.17233E-05,4.96952E-05,4.77466E-05,4.58744E-05,4.40757E-05,4.23474E-05,4.0687E-05,3.90916E-05,3.75588E-05,3.60861E-05,3.46712E-05,3.33117E-05,3.20055E-05,3.07506E-05,2.95448E-05,2.83863E-05,2.72733E-05,2.62039E-05,2.51764E-05,2.41892E-05
8,0.005066773,0.004868102,0.004677221,0.004493825,0.004317619,0.004148323,0.003985665,0.003829385,0.003679232,0.003534968,0.00339636,0.003263186,0.003135235,0.003012301,0.002894187,0.002780704,0.002671671,0.002566913,0.002466263,0.00236956,0.002276648,0.002187379,0.002101611,0.002019206,0.001940031,0.001863962,0.001790875,0.001720654,0.001653186,0.001588363,0.001526083,0.001466244,0.001408752,0.001353514,0.001300442,0.001249451,0.001200459,0.001153389,0.001108164,0.001064712,0.001022964,0.000982853,0.000944315,0.000907288,0.000871712,0.000837532,0.000804692,0.000773139,0.000742824,0.000713698,0.000685713,0.000658826,0.000632993,0.000608173,0.000584326,0.000561414,0.000539401,0.000518251,0.00049793,0.000478406,0.000459647,0.000441624,0.000424308,0.000407671,0.000391686,0.000376327,0.000361571,0.000347394,0.000333772,0.000320685,0.000308111,0.00029603,0.000284422,0.00027327,0.000262555,0.00025226,0.000242369,0.000232865,0.000223734,0.000214962,0.000206533,0.000198435,0.000190654,0.000183178,0.000175996,0.000169095,0.000162464,0.000156094,0.000149974,0.000144093,0.000138443,0.000133015,0.000127799,0.000122788,0.000117973,0.000113348,0.000108903,0.000104633,0.00010053,9.65885E-05,9.28012E-05,8.91624E-05,8.56663E-05,8.23073E-05,7.908E-05,7.59792E-05,0.000073,7.01376E-05,6.73875E-05,6.47452E-05,6.22065E-05,5.97673E-05,5.74238E-05,5.51722E-05,5.30089E-05,5.09304E-05,4.89334E-05,4.70147E-05,4.51712E-05,4.34E-05,4.16983E-05,4.00632E-05,3.84923E-05,3.6983E-05,3.55329E-05,3.41396E-05,3.2801E-05,3.15149E-05,3.02792E-05,2.90919E-05,2.79512E-05,2.68552E-05,2.58022E-05,2.47905E-05,2.38184E-05,2.28845E-05,2.19872E-05,2.1125E-05,2.02967E-05,1.95009E-05
9,0.004534671,0.004356864,0.004186028,0.004021892,0.003864191,0.003712674,0.003567098,0.00342723,0.003292847,0.003163732,0.003039681,0.002920493,0.002805979,0.002695955,0.002590245,0.00248868,0.002391097,0.002297341,0.002207261,0.002120713,0.002037559,0.001957665,0.001880904,0.001807153,0.001736293,0.001668212,0.001602801,0.001539954,0.001479571,0.001421557,0.001365817,0.001312262,0.001260808,0.001211371,0.001163872,0.001118236,0.001074389,0.001032262,0.000991786,0.000952898,0.000915534,0.000879636,0.000845145,0.000812006,0.000780167,0.000749576,0.000720185,0.000691946,0.000664814,0.000638747,0.000613701,0.000589637,0.000566517,0.000544304,0.000522961,0.000502456,0.000482754,0.000463825,0.000445638,0.000428165,0.000411376,0.000395246,0.000379748,0.000364858,0.000350552,0.000336806,0.0003236,0.000310911,0.00029872,0.000287007,0.000275754,0.000264941,0.000254553,0.000244572,0.000234982,0.000225768,0.000216915,0.00020841,0.000200238,0.000192387,0.000184843,0.000177595,0.000170632,0.000163941,0.000157513,0.000151337,0.000145403,0.000139701,0.000134224,0.000128961,0.000123904,0.000119046,0.000114378,0.000109893,0.000105584,0.000101444,9.74664E-05,9.36447E-05,8.99728E-05,8.64449E-05,8.30554E-05,7.97987E-05,7.66698E-05,7.36635E-05,7.07751E-05,0.000068,6.53337E-05,6.27719E-05,6.03106E-05,5.79458E-05,5.56737E-05,5.34907E-05,5.13933E-05,4.93781E-05,4.7442E-05,4.55818E-05,4.37945E-05,4.20773E-05,4.04274E-05,3.88422E-05,3.73192E-05,3.58559E-05,3.445E-05,3.30992E-05,3.18013E-05,3.05544E-05,2.93563E-05,2.82052E-05,2.70993E-05,2.60367E-05,2.50158E-05,2.40349E-05,2.30925E-05,2.2187E-05,2.13171E-05,2.04812E-05,1.96781E-05,1.89065E-05,1.81652E-05,1.74529E-05
