PERF2020_Col_2ndo,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049
0,0.109671368,0.105899267,0.102256906,0.098739822,0.095343707,0.0920644,0.088897883,0.085840277,0.082887837,0.080036944,0.077284107,0.074625952,0.072059223,0.069580776,0.067187575,0.064876686,0.062645279,0.060490621,0.058410071,0.056401081,0.05446119,0.05258802,0.050779277,0.049032744,0.047346284,0.045717828,0.044145382,0.04262702,0.041160882,0.03974517,0.038378152,0.037058151,0.035783551,0.034552791,0.033364362,0.032216809,0.031108725,0.030038753,0.029005583,0.028007948,0.027044626,0.026114438,0.025216242,0.02434894,0.023511469,0.022702801,0.021921948,0.021167952,0.020439889,0.019736867,0.019058026,0.018402533,0.017769586,0.017158408,0.016568252,0.015998394,0.015448136,0.014916803,0.014403746,0.013908335,0.013429964,0.012968046,0.012522015,0.012091326,0.01167545,0.011273878,0.010886117,0.010511694,0.010150148,0.009801038,0.009463936,0.009138428,0.008824115,0.008520613,0.00822755,0.007944567,0.007671317,0.007407465,0.007152689,0.006906675,0.006669123,0.006439741,0.006218249,0.006004375,0.005797857,0.005598442,0.005405886,0.005219953,0.005040415,0.004867052,0.004699651,0.004538009,0.004381926,0.004231211,0.004085681,0.003945155,0.003809463,0.003678438,0.00355192,0.003429753,0.003311788,0.003197881,0.003087891,0.002981684,0.00287913,0.002780104,0.002684483,0.002592152,0.002502996,0.002416906,0.002333778,0.002253508,0.002176,0.002101157,0.002028889,0.001959106,0.001891724,0.001826658,0.001763831,0.001703165,0.001644585,0.001588021,0.001533401,0.001480661,0.001429734,0.001380559,0.001333075,0.001287224,0.001242951,0.0012002,0.00115892,0.001119059,0.00108057,0.001043404,0.001007516,0.000972863,0.000939402,0.000907092,0.000875893,0.000845767,0.000816677,0.000788588,0.000761465,0.000735274,0.000709985,0.000685565,0.000661985,0.000639217,0.000617231,0.000596002
1,0.007056707,0.006813994,0.00657963,0.006353326,0.006134806,0.005923802,0.005720055,0.005523316,0.005333344,0.005149906,0.004972777,0.004801741,0.004636587,0.004477113,0.004323125,0.004174433,0.004030855,0.003892215,0.003758344,0.003629077,0.003504257,0.003383729,0.003267347,0.003154968,0.003046455,0.002941673,0.002840495,0.002742798,0.00264846,0.002557368,0.002469408,0.002384474,0.002302461,0.002223269,0.0021468,0.002072962,0.002001663,0.001932817,0.001866338,0.001802147,0.001740162,0.00168031,0.001622517,0.001566711,0.001512825,0.001460792,0.001410548,0.001362033,0.001315186,0.001269951,0.001226272,0.001184095,0.001143368,0.001104043,0.001066069,0.001029402,0.000993997,0.000959808,0.000926796,0.000894919,0.000864139,0.000834417,0.000805718,0.000778006,0.000751246,0.000725408,0.000700458,0.000676366,0.000653102,0.000630639,0.000608949,0.000588004,0.00056778,0.000548251,0.000529394,0.000511186,0.000493604,0.000476627,0.000460233,0.000444404,0.000429119,0.000414359,0.000400108,0.000386346,0.000373058,0.000360227,0.000347837,0.000335873,0.000324321,0.000313166,0.000302395,0.000291994,0.000281951,0.000272254,0.000262889,0.000253848,0.000245117,0.000236686,0.000228545,0.000220684,0.000213094,0.000205765,0.000198688,0.000191854,0.000185255,0.000178883,0.000172731,0.00016679,0.000161053,0.000155514,0.000150165,0.000145,0.000140013,0.000135197,0.000130547,0.000126057,0.000121721,0.000117535,0.000113492,0.000109589,0.000105819,0.00010218,9.86653E-05,9.52718E-05,9.1995E-05,8.88308E-05,8.57755E-05,8.28253E-05,7.99766E-05,7.72258E-05,7.45697E-05,7.20049E-05,6.95283E-05,6.71369E-05,6.48277E-05,6.2598E-05,6.0445E-05,5.8366E-05,5.63585E-05,5.44201E-05,5.25484E-05,5.0741E-05,4.89958E-05,4.73106E-05,4.56833E-05,4.41121E-05,4.25949E-05,4.11298E-05,3.97152E-05,3.83492E-05
2,0.00582714,0.005626718,0.005433189,0.005246317,0.005065872,0.004891633,0.004723388,0.004560929,0.004404058,0.004252582,0.004106316,0.003965081,0.003828704,0.003697017,0.00356986,0.003447076,0.003328515,0.003214032,0.003103487,0.002996744,0.002893672,0.002794145,0.002698042,0.002605244,0.002515638,0.002429113,0.002345565,0.00226489,0.00218699,0.00211177,0.002039136,0.001969001,0.001901278,0.001835884,0.00177274,0.001711767,0.001652892,0.001596041,0.001541146,0.001488139,0.001436955,0.001387532,0.001339808,0.001293726,0.001249229,0.001206262,0.001164773,0.001124711,0.001086027,0.001048674,0.001012605,0.000977777,0.000944147,0.000911673,0.000880317,0.000850038,0.000820802,0.000792571,0.00076531,0.000738988,0.000713571,0.000689028,0.000665329,0.000642445,0.000620349,0.000599012,0.000578409,0.000558515,0.000539305,0.000520756,0.000502845,0.00048555,0.000468849,0.000452724,0.000437152,0.000422117,0.000407598,0.000393579,0.000380042,0.000366971,0.000354349,0.000342161,0.000330393,0.000319029,0.000308056,0.000297461,0.00028723,0.00027735,0.000267811,0.0002586,0.000249705,0.000241117,0.000232824,0.000224816,0.000217083,0.000209617,0.000202407,0.000195445,0.000188723,0.000182232,0.000175964,0.000169912,0.000164068,0.000158425,0.000152976,0.000147715,0.000142634,0.000137728,0.000132991,0.000128417,0.000124,0.000119735,0.000115617,0.00011164,0.0001078,0.000104093,0.000100512,9.70554E-05,9.37172E-05,9.04938E-05,8.73813E-05,8.43759E-05,8.14738E-05,7.86715E-05,7.59657E-05,7.33529E-05,7.08299E-05,6.83938E-05,6.60414E-05,6.37699E-05,6.15766E-05,5.94587E-05,5.74136E-05,5.54389E-05,5.35321E-05,5.16909E-05,4.9913E-05,4.81963E-05,4.65386E-05,4.49379E-05,4.33923E-05,4.18998E-05,4.04587E-05,3.90671E-05,3.77234E-05,3.6426E-05,3.51731E-05,3.39633E-05,3.27952E-05,3.16672E-05
3,0.004719183,0.004556868,0.004400137,0.004248796,0.00410266,0.003961551,0.003825295,0.003693726,0.003566682,0.003444007,0.003325552,0.003211171,0.003100724,0.002994076,0.002891096,0.002791658,0.00269564,0.002602924,0.002513398,0.002426951,0.002343477,0.002262874,0.002185043,0.00210989,0.002037321,0.001967248,0.001899585,0.00183425,0.001771162,0.001710243,0.00165142,0.00159462,0.001539774,0.001486814,0.001435676,0.001386296,0.001338615,0.001292574,0.001248117,0.001205188,0.001163736,0.00112371,0.00108506,0.00104774,0.001011704,0.000976906,0.000943306,0.000910862,0.000879533,0.000849282,0.000820071,0.000791865,0.000764629,0.00073833,0.000712935,0.000688414,0.000664737,0.000641873,0.000619796,0.000598479,0.000577894,0.000558018,0.000538825,0.000520292,0.000502397,0.000485117,0.000468432,0.00045232,0.000436763,0.000421741,0.000407235,0.000393229,0.000379704,0.000366644,0.000354033,0.000341856,0.000330098,0.000318745,0.000307782,0.000297196,0.000286974,0.000277103,0.000267573,0.00025837,0.000249483,0.000240902,0.000232616,0.000224616,0.00021689,0.00020943,0.000202227,0.000195272,0.000188555,0.00018207,0.000175808,0.000169761,0.000163922,0.000158284,0.00015284,0.000147583,0.000142507,0.000137606,0.000132873,0.000128303,0.00012389,0.000119628,0.000115514,0.000111541,0.000107704,0.000104,0.000100423,9.6969E-05,9.36338E-05,9.04133E-05,8.73035E-05,8.43008E-05,8.14013E-05,7.86015E-05,7.5898E-05,7.32876E-05,7.07669E-05,6.83329E-05,6.59826E-05,6.37131E-05,6.15218E-05,5.94057E-05,5.73625E-05,5.53895E-05,5.34844E-05,5.16449E-05,4.98686E-05,4.81534E-05,4.64971E-05,4.48979E-05,4.33537E-05,4.18625E-05,4.04227E-05,3.90324E-05,3.76899E-05,3.63935E-05,3.51418E-05,3.39331E-05,3.2766E-05,3.1639E-05,3.05508E-05,2.95E-05,2.84854E-05,2.75056E-05,2.65596E-05,2.56461E-05
4,0.003811996,0.003680884,0.003554281,0.003432033,0.00331399,0.003200006,0.003089944,0.002983666,0.002881044,0.002781952,0.002686268,0.002593875,0.00250466,0.002418513,0.002335329,0.002255006,0.002177446,0.002102554,0.002030238,0.001960408,0.001892981,0.001827873,0.001765004,0.001704297,0.001645679,0.001589076,0.001534421,0.001481645,0.001430684,0.001381476,0.001333961,0.00128808,0.001243777,0.001200998,0.00115969,0.001119803,0.001081288,0.001044097,0.001008186,0.00097351,0.000940027,0.000907695,0.000876475,0.000846329,0.00081722,0.000789112,0.000761971,0.000735763,0.000710457,0.000686021,0.000662426,0.000639642,0.000617641,0.000596398,0.000575885,0.000556078,0.000536952,0.000518483,0.00050065,0.000483431,0.000466803,0.000450748,0.000435245,0.000420275,0.000405819,0.000391861,0.000378383,0.000365369,0.000352802,0.000340668,0.000328951,0.000317637,0.000306712,0.000296162,0.000285976,0.00027614,0.000266642,0.000257471,0.000248616,0.000240065,0.000231808,0.000223835,0.000216136,0.000208702,0.000201524,0.000194593,0.0001879,0.000181437,0.000175196,0.000169171,0.000163352,0.000157734,0.000152309,0.00014707,0.000142012,0.000137127,0.000132411,0.000127856,0.000123459,0.000119213,0.000115112,0.000111153,0.00010733,0.000103638,0.000100074,9.66318E-05,9.33082E-05,9.00989E-05,0.000087,8.40077E-05,8.11183E-05,7.83282E-05,7.56342E-05,7.30328E-05,7.05208E-05,6.80953E-05,6.57532E-05,6.34916E-05,6.13079E-05,5.91992E-05,5.71631E-05,5.5197E-05,5.32985E-05,5.14653E-05,4.96952E-05,4.79859E-05,4.63355E-05,4.47418E-05,4.32029E-05,4.1717E-05,4.02821E-05,3.88966E-05,3.75588E-05,3.6267E-05,3.50196E-05,3.38151E-05,3.26521E-05,3.1529E-05,3.04446E-05,2.93975E-05,2.83863E-05,2.741E-05,2.64672E-05,2.55569E-05,2.46779E-05,2.38291E-05,2.30095E-05,2.22181E-05,2.14539E-05,2.0716E-05
5,0.003088558,0.002982328,0.002879752,0.002780704,0.002685063,0.002592711,0.002503536,0.002417428,0.002334282,0.002253995,0.00217647,0.002101611,0.002029327,0.001959529,0.001892132,0.001827053,0.001764212,0.001703533,0.00164494,0.001588363,0.001533732,0.00148098,0.001430042,0.001380857,0.001333363,0.001287502,0.001243219,0.001200459,0.00115917,0.001119301,0.001080803,0.001043629,0.001007734,0.000973073,0.000939605,0.000907288,0.000876082,0.000845949,0.000816853,0.000788758,0.000761629,0.000735433,0.000710138,0.000685713,0.000662128,0.000639355,0.000617364,0.00059613,0.000575627,0.000555828,0.000536711,0.000518251,0.000500426,0.000483214,0.000466594,0.000450546,0.000435049,0.000420086,0.000405637,0.000391686,0.000378214,0.000365205,0.000352644,0.000340515,0.000328803,0.000317494,0.000306574,0.00029603,0.000285848,0.000276016,0.000266523,0.000257356,0.000248504,0.000239957,0.000231704,0.000223734,0.000216039,0.000208609,0.000201434,0.000194505,0.000187815,0.000181356,0.000175118,0.000169095,0.000163279,0.000157663,0.00015224,0.000147004,0.000141948,0.000137066,0.000132351,0.000127799,0.000123403,0.000119159,0.000115061,0.000111103,0.000107282,0.000103592,0.000100029,9.65885E-05,9.32664E-05,9.00585E-05,8.6961E-05,8.397E-05,8.10819E-05,7.82931E-05,7.56002E-05,0.000073,7.04892E-05,6.80647E-05,6.57237E-05,6.34632E-05,6.12804E-05,5.91726E-05,5.71374E-05,5.51722E-05,5.32746E-05,5.14422E-05,4.96729E-05,4.79644E-05,4.63147E-05,4.47217E-05,4.31835E-05,4.16983E-05,4.02641E-05,3.88792E-05,3.7542E-05,3.62507E-05,3.50039E-05,3.38E-05,3.26374E-05,3.15149E-05,3.04309E-05,2.93843E-05,2.83736E-05,2.73977E-05,2.64554E-05,2.55455E-05,2.46668E-05,2.38184E-05,2.29992E-05,2.22082E-05,2.14443E-05,2.07067E-05,1.99945E-05,1.93068E-05,1.86428E-05,1.80016E-05,1.73824E-05,1.67846E-05
6,0.00257379,0.002485265,0.002399786,0.002317246,0.002237545,0.002160586,0.002086273,0.002014517,0.001945228,0.001878323,0.001813719,0.001751337,0.0016911,0.001632936,0.001576772,0.001522539,0.001470172,0.001419606,0.001370779,0.001323632,0.001278106,0.001234146,0.001191698,0.00115071,0.001111132,0.001072915,0.001036013,0.00100038,0.000965972,0.000932748,0.000900666,0.000869688,0.000839776,0.000810892,0.000783002,0.000756071,0.000730066,0.000704956,0.000680709,0.000657296,0.000634689,0.000612859,0.00059178,0.000571426,0.000551772,0.000532794,0.000514469,0.000496774,0.000479687,0.000463189,0.000447258,0.000431874,0.00041702,0.000402677,0.000388827,0.000375454,0.00036254,0.000350071,0.00033803,0.000326404,0.000315177,0.000304337,0.000293869,0.000283762,0.000274002,0.000264578,0.000255478,0.000246691,0.000238206,0.000230013,0.000222102,0.000214462,0.000207086,0.000199963,0.000193086,0.000186445,0.000180032,0.00017384,0.000167861,0.000162087,0.000156512,0.000151129,0.000145931,0.000140912,0.000136065,0.000131385,0.000126866,0.000122503,0.000118289,0.000114221,0.000110292,0.000106499,0.000102836,9.92989E-05,9.58836E-05,9.25857E-05,8.94013E-05,8.63263E-05,8.33572E-05,8.04901E-05,7.77217E-05,7.50485E-05,7.24672E-05,6.99748E-05,6.7568E-05,6.5244E-05,0.000063,6.08331E-05,5.87408E-05,5.67204E-05,5.47696E-05,5.28858E-05,5.10668E-05,4.93104E-05,4.76144E-05,4.59767E-05,4.43953E-05,4.28684E-05,4.13939E-05,3.99702E-05,3.85955E-05,3.7268E-05,3.59862E-05,3.47484E-05,3.35533E-05,3.23992E-05,3.12849E-05,3.02088E-05,2.91698E-05,2.81665E-05,2.71978E-05,2.62623E-05,2.5359E-05,2.44868E-05,2.36446E-05,2.28314E-05,2.20461E-05,2.12878E-05,2.05556E-05,1.98486E-05,1.91659E-05,1.85067E-05,1.78702E-05,1.72556E-05,1.66621E-05,1.6089E-05,1.55356E-05,1.50013E-05,1.44853E-05,1.39871E-05
7,0.002248573,0.002171235,0.002096556,0.002024446,0.001954816,0.001887581,0.001822658,0.001759969,0.001699435,0.001640984,0.001584543,0.001530043,0.001477418,0.001426603,0.001377535,0.001330156,0.001284406,0.001240229,0.001197572,0.001156382,0.001116609,0.001078203,0.001041119,0.00100531,0.000970733,0.000937345,0.000905105,0.000873975,0.000843915,0.000814888,0.000786861,0.000759797,0.000733664,0.00070843,0.000684064,0.000660536,0.000637817,0.000615879,0.000594697,0.000574242,0.000554491,0.00053542,0.000517004,0.000499222,0.000482052,0.000465472,0.000449462,0.000434003,0.000419076,0.000404662,0.000390743,0.000377304,0.000364327,0.000351796,0.000339696,0.000328012,0.000316731,0.000305837,0.000295318,0.00028516,0.000275352,0.000265882,0.000256737,0.000247906,0.00023938,0.000231146,0.000223196,0.000215519,0.000208107,0.000200949,0.000194037,0.000187364,0.000180919,0.000174697,0.000168688,0.000162886,0.000157284,0.000151874,0.00014665,0.000141606,0.000136736,0.000132033,0.000127492,0.000123107,0.000118872,0.000114784,0.000110836,0.000107024,0.000103343,9.97883E-05,9.63562E-05,9.3042E-05,8.98419E-05,8.67518E-05,8.3768E-05,8.08869E-05,7.81048E-05,7.54184E-05,7.28244E-05,7.03196E-05,6.7901E-05,6.55656E-05,6.33105E-05,6.1133E-05,5.90303E-05,0.000057,5.50395E-05,5.31464E-05,5.13185E-05,4.95534E-05,4.78491E-05,4.62033E-05,4.46142E-05,4.30797E-05,4.1598E-05,4.01672E-05,3.87857E-05,3.74517E-05,3.61635E-05,3.49197E-05,3.37187E-05,3.25589E-05,3.14391E-05,3.03577E-05,2.93136E-05,2.83054E-05,2.73318E-05,2.63917E-05,2.5484E-05,2.46075E-05,2.37611E-05,2.29439E-05,2.21547E-05,2.13927E-05,2.06569E-05,1.99465E-05,1.92604E-05,1.85979E-05,1.79583E-05,1.73406E-05,1.67442E-05,1.61683E-05,1.56122E-05,1.50752E-05,1.45567E-05,1.4056E-05,1.35726E-05,1.31058E-05,1.2655E-05,1.22197E-05
8,0.001920796,0.001855619,0.001792654,0.001731825,0.001673061,0.00161629,0.001561446,0.001508463,0.001457278,0.001407829,0.001360058,0.001313909,0.001269325,0.001226254,0.001184645,0.001144447,0.001105614,0.001068098,0.001031855,0.000996842,0.000963017,0.00093034,0.000898771,0.000868274,0.000838812,0.000810349,0.000782852,0.000756288,0.000730626,0.000705834,0.000681884,0.000658746,0.000636393,0.000614799,0.000593938,0.000573784,0.000554315,0.000535505,0.000517335,0.00049978,0.000482822,0.000466439,0.000450611,0.000435321,0.00042055,0.00040628,0.000392494,0.000379176,0.000366309,0.00035388,0.000341872,0.000330271,0.000319065,0.000308238,0.000297779,0.000287675,0.000277913,0.000268483,0.000259373,0.000250572,0.000242069,0.000233855,0.00022592,0.000218254,0.000210848,0.000203694,0.000196782,0.000190105,0.000183654,0.000177422,0.000171402,0.000165586,0.000159967,0.000154539,0.000149295,0.00014423,0.000139336,0.000134608,0.00013004,0.000125628,0.000121365,0.000117247,0.000113268,0.000109425,0.000105712,0.000102125,9.86594E-05,9.53116E-05,9.20775E-05,8.89531E-05,8.59348E-05,8.30188E-05,8.02018E-05,7.74804E-05,7.48513E-05,7.23115E-05,6.98578E-05,6.74874E-05,6.51974E-05,6.29851E-05,6.08479E-05,5.87832E-05,5.67885E-05,5.48616E-05,0.000053,5.12016E-05,4.94642E-05,4.77858E-05,4.61643E-05,4.45979E-05,4.30846E-05,4.16226E-05,4.02103E-05,3.88459E-05,3.75277E-05,3.62543E-05,3.50241E-05,3.38357E-05,3.26876E-05,3.15784E-05,3.05069E-05,2.94717E-05,2.84717E-05,2.75056E-05,2.65723E-05,2.56706E-05,2.47996E-05,2.39581E-05,2.31451E-05,2.23597E-05,2.1601E-05,2.08681E-05,2.016E-05,1.94759E-05,1.8815E-05,1.81766E-05,1.75598E-05,1.6964E-05,1.63884E-05,1.58323E-05,1.52951E-05,1.47761E-05,1.42747E-05,1.37903E-05,1.33224E-05,1.28703E-05,1.24336E-05,1.20117E-05,1.16041E-05,1.12104E-05
9,0.001772641,0.001713252,0.001655853,0.001600377,0.00154676,0.001494939,0.001444854,0.001396447,0.001349662,0.001304444,0.001260742,0.001218503,0.00117768,0.001138224,0.00110009,0.001063234,0.001027612,0.000993184,0.00095991,0.00092775,0.000896668,0.000866627,0.000837592,0.00080953,0.000782409,0.000756196,0.000730861,0.000706375,0.000682709,0.000659836,0.00063773,0.000616364,0.000595714,0.000575756,0.000556466,0.000537823,0.000519804,0.000502389,0.000485558,0.00046929,0.000453568,0.000438372,0.000423685,0.00040949,0.000395771,0.000382512,0.000369697,0.000357311,0.00034534,0.00033377,0.000322587,0.00031178,0.000301334,0.000291239,0.000281481,0.000272051,0.000262936,0.000254127,0.000245613,0.000237384,0.000229431,0.000221745,0.000214316,0.000207135,0.000200196,0.000193489,0.000187006,0.000180741,0.000174686,0.000168833,0.000163177,0.00015771,0.000152426,0.000147319,0.000142384,0.000137613,0.000133003,0.000128547,0.00012424,0.000120078,0.000116055,0.000112167,0.000108409,0.000104777,0.000101266,9.78738E-05,9.45947E-05,9.14255E-05,8.83625E-05,8.54021E-05,8.25408E-05,7.97755E-05,7.71028E-05,7.45196E-05,7.2023E-05,6.961E-05,6.72779E-05,6.50238E-05,6.28454E-05,6.07399E-05,5.87049E-05,5.67381E-05,5.48372E-05,0.000053,5.12243E-05,4.95082E-05,4.78495E-05,4.62464E-05,4.4697E-05,4.31995E-05,4.17522E-05,4.03534E-05,3.90014E-05,3.76948E-05,3.64319E-05,3.52113E-05,3.40316E-05,3.28915E-05,3.17895E-05,3.07245E-05,2.96951E-05,2.87002E-05,2.77387E-05,2.68094E-05,2.59112E-05,2.50431E-05,2.42041E-05,2.33932E-05,2.26094E-05,2.18519E-05,2.11198E-05,2.04122E-05,1.97284E-05,1.90674E-05,1.84286E-05,1.78112E-05,1.72145E-05,1.66377E-05,1.60803E-05,1.55416E-05,1.50209E-05,1.45176E-05,1.40313E-05,1.35612E-05,1.31068E-05,1.26677E-05,1.22433E-05,1.18331E-05,1.14367E-05,1.10535E-05
