PERF2020_Ind_1er,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049
0,0.17327878,0.166484421,0.159956474,0.153684491,0.147658436,0.141868666,0.136305916,0.130961284,0.125826219,0.120892502,0.11615224,0.111597845,0.107222031,0.103017795,0.098978409,0.095097411,0.091368588,0.087785974,0.084343837,0.081036668,0.077859175,0.074806273,0.071873077,0.069054893,0.066347212,0.063745701,0.061246196,0.058844698,0.056537365,0.054320503,0.052190565,0.050144144,0.048177964,0.046288879,0.044473866,0.042730021,0.041054553,0.039444781,0.037898129,0.036412122,0.034984382,0.033612625,0.032294655,0.031028364,0.029811724,0.02864279,0.02751969,0.026440627,0.025403875,0.024407775,0.023450733,0.022531216,0.021647755,0.020798934,0.019983396,0.019199836,0.018447,0.017723683,0.017028727,0.016361021,0.015719496,0.015103126,0.014510924,0.013941942,0.013395271,0.012870035,0.012365394,0.01188054,0.011414697,0.01096712,0.010537093,0.010123928,0.009726963,0.009345564,0.008979119,0.008627042,0.008288771,0.007963764,0.0076515,0.007351481,0.007063225,0.006786272,0.006520178,0.006264519,0.006018883,0.005782879,0.00555613,0.005338271,0.005128954,0.004927845,0.004734621,0.004548974,0.004370606,0.004199232,0.004034578,0.00387638,0.003724385,0.00357835,0.003438041,0.003303233,0.003173712,0.003049269,0.002929705,0.00281483,0.002704459,0.002598415,0.00249653,0.00239864,0.002304588,0.002214223,0.002127402,0.002043986,0.00196384,0.001886837,0.001812853,0.00174177,0.001673474,0.001607856,0.001544811,0.001484238,0.001426041,0.001370125,0.001316401,0.001264784,0.001215192,0.001167543,0.001121763,0.001077778,0.001035518,0.000994915,0.000955904,0.000918422,0.00088241,0.00084781,0.000814567,0.000782628,0.00075194,0.000722456,0.000694128,0.000666911,0.000640761,0.000615637,0.000591497,0.000568304,0.000546021,0.000524611,0.000504041,0.000484277,0.000465288,0.000447044
1,0.011093861,0.010658864,0.010240924,0.009839372,0.009453565,0.009082885,0.00872674,0.00838456,0.008055796,0.007739924,0.007436437,0.00714485,0.006864697,0.006595528,0.006336914,0.00608844,0.005849709,0.005620338,0.005399962,0.005188226,0.004984793,0.004789336,0.004601544,0.004421115,0.00424776,0.004081203,0.003921177,0.003767425,0.003619703,0.003477772,0.003341407,0.003210388,0.003084507,0.002963562,0.002847359,0.002735712,0.002628444,0.002525381,0.002426359,0.00233122,0.002239812,0.002151988,0.002067607,0.001986535,0.001908642,0.001833803,0.001761898,0.001692813,0.001626437,0.001562664,0.001501391,0.00144252,0.001385958,0.001331614,0.001279401,0.001229235,0.001181036,0.001134727,0.001090233,0.001047485,0.001006412,0.00096695,0.000929036,0.000892608,0.000857608,0.000823981,0.000791672,0.00076063,0.000730805,0.00070215,0.000674618,0.000648166,0.000622751,0.000598333,0.000574872,0.000552331,0.000530674,0.000509866,0.000489873,0.000470665,0.00045221,0.000434479,0.000417443,0.000401074,0.000385348,0.000370238,0.000355721,0.000341773,0.000328372,0.000315496,0.000303126,0.00029124,0.00027982,0.000268848,0.000258307,0.000248178,0.000238447,0.000229097,0.000220114,0.000211484,0.000203191,0.000195224,0.000187569,0.000180214,0.000173148,0.000166359,0.000159836,0.000153569,0.000147547,0.000141762,0.000136203,0.000130863,0.000125731,0.000120801,0.000116065,0.000111514,0.000107141,0.00010294,9.89037E-05,9.50257E-05,9.12997E-05,8.77198E-05,8.42802E-05,8.09755E-05,7.78004E-05,7.47498E-05,7.18189E-05,6.90028E-05,6.62972E-05,6.36976E-05,6.12E-05,5.88003E-05,5.64947E-05,5.42795E-05,5.21512E-05,5.01063E-05,4.81416E-05,4.6254E-05,4.44403E-05,4.26978E-05,4.10236E-05,3.9415E-05,3.78695E-05,3.63847E-05,3.4958E-05,3.35873E-05,3.22703E-05,3.1005E-05,2.97892E-05,2.86212E-05
2,0.009115167,0.008757756,0.008414359,0.008084428,0.007767433,0.007462867,0.007170244,0.006889095,0.00661897,0.006359436,0.006110079,0.005870499,0.005640314,0.005419154,0.005206666,0.00500251,0.004806358,0.004617898,0.004436828,0.004262857,0.004095708,0.003935113,0.003780815,0.003632567,0.003490132,0.003353282,0.003221798,0.00309547,0.002974095,0.002857479,0.002745435,0.002637785,0.002534356,0.002434983,0.002339506,0.002247772,0.002159636,0.002074955,0.001993595,0.001915425,0.00184032,0.00176816,0.00169883,0.001632218,0.001568218,0.001506727,0.001447647,0.001390884,0.001336347,0.001283948,0.001233604,0.001185233,0.00113876,0.001094108,0.001051208,0.001009989,0.000970387,0.000932338,0.00089578,0.000860656,0.000826909,0.000794486,0.000763333,0.000733403,0.000704646,0.000677016,0.00065047,0.000624965,0.000600459,0.000576915,0.000554294,0.00053256,0.000511678,0.000491615,0.000472338,0.000453817,0.000436023,0.000418926,0.0004025,0.000386718,0.000371554,0.000356985,0.000342988,0.000329539,0.000316618,0.000304203,0.000292275,0.000280815,0.000269804,0.000259225,0.00024906,0.000239294,0.000229912,0.000220897,0.000212235,0.000203913,0.000195918,0.000188236,0.000180855,0.000173763,0.00016695,0.000160404,0.000154114,0.000148071,0.000142265,0.000136687,0.000131328,0.000126178,0.000121231,0.000116477,0.00011191,0.000107522,0.000103306,9.92553E-05,9.53634E-05,9.16242E-05,8.80315E-05,8.45798E-05,8.12633E-05,7.8077E-05,7.50155E-05,7.20741E-05,6.9248E-05,6.65328E-05,6.3924E-05,6.14175E-05,5.90093E-05,5.66955E-05,5.44724E-05,5.23365E-05,5.02844E-05,4.83127E-05,4.64184E-05,4.45983E-05,4.28495E-05,4.11694E-05,3.95551E-05,3.80041E-05,3.6514E-05,3.50822E-05,3.37066E-05,3.2385E-05,3.11152E-05,2.98951E-05,2.87229E-05,2.75967E-05,2.65146E-05,2.54749E-05,2.4476E-05,2.35163E-05
3,0.007345215,0.007057205,0.006780488,0.006514621,0.006259179,0.006013753,0.00577795,0.005551394,0.005333721,0.005124582,0.004923645,0.004730586,0.004545097,0.004366881,0.004195653,0.004031139,0.003873076,0.003721211,0.0035753,0.00343511,0.003300418,0.003171006,0.00304667,0.002927208,0.00281243,0.002702153,0.002596201,0.002494402,0.002396595,0.002302623,0.002212336,0.002125589,0.002042244,0.001962166,0.001885228,0.001811308,0.001740285,0.001672048,0.001606486,0.001543495,0.001482973,0.001424825,0.001368957,0.001315279,0.001263706,0.001214156,0.001166548,0.001120807,0.00107686,0.001034635,0.000994067,0.000955089,0.000917639,0.000881658,0.000847088,0.000813873,0.000781961,0.000751299,0.000721841,0.000693537,0.000666343,0.000640215,0.000615112,0.000590993,0.00056782,0.000545555,0.000524164,0.000503611,0.000483864,0.000464892,0.000446663,0.000429149,0.000412322,0.000396155,0.000380621,0.000365697,0.000351358,0.000337581,0.000324344,0.000311626,0.000299407,0.000287667,0.000276388,0.00026555,0.000255138,0.000245134,0.000235522,0.000226287,0.000217414,0.000208889,0.000200699,0.000192829,0.000185268,0.000178004,0.000171024,0.000164318,0.000157875,0.000151685,0.000145737,0.000140023,0.000134532,0.000129257,0.000124189,0.000119319,0.000114641,0.000110146,0.000105827,0.000101677,9.76905E-05,0.00009386,9.01797E-05,8.66437E-05,8.32464E-05,7.99822E-05,7.68461E-05,7.38329E-05,7.09379E-05,6.81563E-05,6.54839E-05,6.29162E-05,6.04493E-05,5.8079E-05,5.58017E-05,5.36137E-05,5.15115E-05,4.94917E-05,4.75511E-05,4.56866E-05,4.38952E-05,4.2174E-05,4.05203E-05,3.89315E-05,3.7405E-05,3.59383E-05,3.45292E-05,3.31753E-05,3.18744E-05,3.06246E-05,2.94238E-05,2.82701E-05,2.71616E-05,2.60966E-05,2.50733E-05,2.40902E-05,2.31456E-05,2.2238E-05,2.13661E-05,2.05283E-05,1.97234E-05,1.895E-05
4,0.005903623,0.005672139,0.005449731,0.005236044,0.005030736,0.004833478,0.004643954,0.004461862,0.00428691,0.004118818,0.003957317,0.003802148,0.003653064,0.003509825,0.003372203,0.003239977,0.003112936,0.002990876,0.002873602,0.002760926,0.002652669,0.002548656,0.002448722,0.002352706,0.002260455,0.002171822,0.002086663,0.002004844,0.001926233,0.001850704,0.001778137,0.001708415,0.001641427,0.001577066,0.001515228,0.001455816,0.001398732,0.001343887,0.001291193,0.001240564,0.001191921,0.001145185,0.001100282,0.001057139,0.001015688,0.000975862,0.000937598,0.000900834,0.000865512,0.000831575,0.000798969,0.000767641,0.000737541,0.000708621,0.000680836,0.00065414,0.000628491,0.000603847,0.00058017,0.000557421,0.000535565,0.000514565,0.000494388,0.000475003,0.000456378,0.000438483,0.00042129,0.000404771,0.0003889,0.000373651,0.000359,0.000344923,0.000331398,0.000318404,0.000305919,0.000293924,0.000282399,0.000271326,0.000260687,0.000250466,0.000240645,0.000231209,0.000222143,0.000213433,0.000205064,0.000197023,0.000189298,0.000181875,0.000174744,0.000167892,0.000161309,0.000154984,0.000148907,0.000143068,0.000137458,0.000132069,0.00012689,0.000121915,0.000117134,0.000112541,0.000108129,0.000103889,9.98153E-05,9.59015E-05,9.21411E-05,8.85282E-05,8.5057E-05,8.17219E-05,7.85175E-05,7.54388E-05,7.24808E-05,6.96388E-05,6.69082E-05,6.42847E-05,6.17641E-05,5.93422E-05,5.70154E-05,5.47798E-05,5.26319E-05,5.05681E-05,4.85853E-05,4.66803E-05,4.48499E-05,4.30913E-05,4.14017E-05,3.97783E-05,3.82186E-05,3.672E-05,3.52802E-05,3.38968E-05,3.25677E-05,3.12907E-05,3.00638E-05,2.8885E-05,2.77524E-05,2.66642E-05,2.56187E-05,2.46142E-05,2.3649E-05,2.27217E-05,2.18308E-05,2.09748E-05,2.01524E-05,1.93622E-05,1.8603E-05,1.78735E-05,1.71727E-05,1.64994E-05,1.58524E-05,1.52308E-05
5,0.004759381,0.004572763,0.004393462,0.004221192,0.004055677,0.003896651,0.003743862,0.003597063,0.00345602,0.003320507,0.003190308,0.003065215,0.002945026,0.00282955,0.002718601,0.002612004,0.002509585,0.002411183,0.002316639,0.002225803,0.002138528,0.002054675,0.00197411,0.001896704,0.001822333,0.001750878,0.001682225,0.001616264,0.00155289,0.001492,0.001433498,0.00137729,0.001323285,0.001271399,0.001221546,0.001173649,0.001127629,0.001083414,0.001040933,0.001000118,0.000960902,0.000923225,0.000887025,0.000852244,0.000818827,0.00078672,0.000755873,0.000726234,0.000697758,0.000670399,0.000644112,0.000618856,0.00059459,0.000571276,0.000548876,0.000527354,0.000506677,0.000486809,0.000467721,0.000449382,0.000431761,0.000414832,0.000398566,0.000382938,0.000367923,0.000353496,0.000339635,0.000326318,0.000313523,0.00030123,0.000289418,0.00027807,0.000267167,0.000256691,0.000246626,0.000236956,0.000227664,0.000218738,0.000210161,0.00020192,0.000194003,0.000186396,0.000179087,0.000172065,0.000165318,0.000158836,0.000152608,0.000146624,0.000140875,0.000135351,0.000130044,0.000124945,0.000120046,0.000115339,0.000110816,0.000106471,0.000102296,9.82851E-05,9.44313E-05,9.07286E-05,8.71711E-05,8.37531E-05,8.04691E-05,7.73138E-05,7.42823E-05,7.13697E-05,6.85712E-05,6.58825E-05,6.32992E-05,6.08172E-05,5.84325E-05,5.61414E-05,5.394E-05,5.1825E-05,4.97929E-05,4.78405E-05,4.59647E-05,4.41624E-05,4.24307E-05,4.0767E-05,3.91685E-05,3.76327E-05,3.61571E-05,3.47393E-05,3.33772E-05,3.20685E-05,3.0811E-05,2.96029E-05,2.84422E-05,2.73269E-05,2.62554E-05,2.52259E-05,2.42368E-05,2.32865E-05,2.23734E-05,2.14961E-05,2.06533E-05,1.98434E-05,1.90654E-05,1.83178E-05,1.75995E-05,1.69095E-05,1.62464E-05,1.56094E-05,1.49973E-05,1.44093E-05,1.38443E-05,1.33014E-05,1.27799E-05,1.22788E-05
6,0.003946357,0.003791618,0.003642947,0.003500105,0.003362864,0.003231004,0.003104314,0.002982592,0.002865643,0.00275328,0.002645322,0.002541598,0.00244194,0.00234619,0.002254195,0.002165807,0.002080884,0.001999291,0.001920898,0.001845579,0.001773212,0.001703684,0.001636881,0.001572698,0.001511032,0.001451784,0.001394858,0.001340165,0.001287617,0.001237128,0.00118862,0.001142013,0.001097234,0.001054211,0.001012875,0.00097316,0.000935002,0.00089834,0.000863115,0.000829272,0.000796756,0.000765514,0.000735498,0.000706659,0.00067895,0.000652328,0.00062675,0.000602175,0.000578563,0.000555878,0.000534081,0.00051314,0.000493019,0.000473688,0.000455114,0.000437269,0.000420123,0.00040365,0.000387823,0.000372616,0.000358005,0.000343968,0.000330481,0.000317522,0.000305072,0.00029311,0.000281617,0.000270575,0.000259965,0.000249772,0.000239978,0.000230569,0.000221528,0.000212842,0.000204496,0.000196478,0.000188774,0.000181372,0.00017426,0.000167427,0.000160862,0.000154555,0.000148495,0.000142672,0.000137078,0.000131703,0.000126539,0.000121577,0.00011681,0.00011223,0.000107829,0.000103601,9.95389E-05,9.56359E-05,9.1886E-05,8.82831E-05,8.48214E-05,8.14955E-05,7.83E-05,7.52299E-05,7.228E-05,6.94459E-05,6.67229E-05,6.41067E-05,6.1593E-05,5.91779E-05,5.68575E-05,5.46281E-05,5.24861E-05,5.04281E-05,4.84508E-05,4.6551E-05,4.47257E-05,4.2972E-05,4.1287E-05,3.96681E-05,3.81127E-05,3.66183E-05,3.51825E-05,3.3803E-05,3.24775E-05,3.12041E-05,2.99805E-05,2.8805E-05,2.76755E-05,2.65903E-05,2.55477E-05,2.4546E-05,2.35835E-05,2.26588E-05,2.17703E-05,2.09167E-05,2.00965E-05,1.93086E-05,1.85515E-05,1.7824E-05,1.71251E-05,1.64537E-05,1.58085E-05,1.51886E-05,1.45931E-05,1.40209E-05,1.34711E-05,1.29429E-05,1.24354E-05,1.19478E-05,1.14793E-05,1.10292E-05,1.05968E-05,1.01813E-05
7,0.003430512,0.003295999,0.003166761,0.003042591,0.002923289,0.002808665,0.002698536,0.002592725,0.002491063,0.002393387,0.002299541,0.002209374,0.002122744,0.00203951,0.001959539,0.001882705,0.001808883,0.001737955,0.001669809,0.001604335,0.001541428,0.001480988,0.001422918,0.001367124,0.001313518,0.001262015,0.00121253,0.001164986,0.001119307,0.001075418,0.00103325,0.000992736,0.00095381,0.000916411,0.000880478,0.000845954,0.000812783,0.000780914,0.000750294,0.000720874,0.000692608,0.000665451,0.000639358,0.000614288,0.000590202,0.00056706,0.000544825,0.000523462,0.000502937,0.000483216,0.000464269,0.000446065,0.000428575,0.00041177,0.000395624,0.000380112,0.000365207,0.000350887,0.000337129,0.00032391,0.000311209,0.000299006,0.000287282,0.000276018,0.000265195,0.000254796,0.000244806,0.000235207,0.000225984,0.000217123,0.00020861,0.00020043,0.000192571,0.00018502,0.000177765,0.000170795,0.000164098,0.000157664,0.000151482,0.000145542,0.000139835,0.000134352,0.000129084,0.000124023,0.00011916,0.000114487,0.000109998,0.000105685,0.000101541,9.75597E-05,9.37343E-05,9.0059E-05,8.65277E-05,8.31349E-05,7.98751E-05,7.67432E-05,7.3734E-05,7.08429E-05,6.80651E-05,6.53962E-05,6.2832E-05,6.03683E-05,5.80013E-05,5.5727E-05,5.35419E-05,5.14425E-05,4.94254E-05,4.74874E-05,4.56254E-05,4.38364E-05,4.21176E-05,4.04661E-05,3.88794E-05,3.73549E-05,3.58902E-05,3.44829E-05,3.31308E-05,3.18318E-05,3.05836E-05,2.93844E-05,2.82322E-05,2.71252E-05,2.60616E-05,2.50398E-05,2.40579E-05,2.31146E-05,2.22083E-05,2.13375E-05,2.05008E-05,1.9697E-05,1.89246E-05,1.81826E-05,1.74696E-05,1.67846E-05,1.61265E-05,1.54942E-05,1.48866E-05,1.43029E-05,1.37421E-05,1.32033E-05,1.26856E-05,1.21882E-05,1.17103E-05,1.12511E-05,1.08099E-05,1.03861E-05,9.97882E-06,9.58754E-06,9.21161E-06,8.85042E-06
8,0.002915825,0.002802836,0.002694225,0.002589823,0.002489466,0.002392998,0.002300268,0.002211132,0.00212545,0.002043088,0.001963917,0.001887815,0.001814661,0.001744342,0.001676748,0.001611774,0.001549317,0.00148928,0.00143157,0.001376096,0.001322772,0.001271514,0.001222242,0.00117488,0.001129353,0.00108559,0.001043523,0.001003086,0.000964216,0.000926852,0.000890936,0.000856412,0.000823226,0.000791325,0.000760661,0.000731185,0.000702852,0.000675616,0.000649435,0.000624269,0.000600079,0.000576825,0.000554473,0.000532987,0.000512334,0.000492481,0.000473397,0.000455052,0.000437419,0.000420469,0.000404175,0.000388514,0.000373458,0.000358987,0.000345076,0.000331704,0.00031885,0.000306495,0.000294618,0.000283201,0.000272227,0.000261678,0.000251538,0.000241791,0.000232422,0.000223415,0.000214758,0.000206436,0.000198436,0.000190747,0.000183355,0.00017625,0.00016942,0.000162855,0.000156545,0.000150478,0.000144647,0.000139042,0.000133654,0.000128475,0.000123497,0.000118711,0.000114111,0.000109689,0.000105439,0.000101353,9.74254E-05,9.36501E-05,9.00211E-05,8.65328E-05,8.31796E-05,7.99563E-05,7.6858E-05,7.38797E-05,7.10168E-05,6.82649E-05,6.56196E-05,6.30768E-05,6.06326E-05,5.8283E-05,5.60246E-05,5.38536E-05,5.17667E-05,4.97607E-05,4.78325E-05,4.5979E-05,4.41973E-05,4.24846E-05,4.08383E-05,3.92558E-05,3.77346E-05,3.62724E-05,3.48668E-05,3.35157E-05,3.2217E-05,3.09686E-05,2.97685E-05,2.8615E-05,2.75061E-05,2.64403E-05,2.54157E-05,2.44308E-05,2.34841E-05,2.25741E-05,2.16993E-05,2.08585E-05,2.00502E-05,1.92733E-05,1.85264E-05,1.78085E-05,1.71184E-05,1.64551E-05,1.58174E-05,1.52045E-05,1.46153E-05,1.4049E-05,1.35046E-05,1.29813E-05,1.24782E-05,1.19947E-05,1.15299E-05,1.10831E-05,1.06536E-05,1.02408E-05,9.84396E-06,9.4625E-06,9.09583E-06,8.74336E-06,8.40455E-06,8.07887E-06
9,0.002677501,0.00257489,0.002476211,0.002381315,0.002290055,0.002202292,0.002117893,0.002036728,0.001958674,0.001883611,0.001811424,0.001742005,0.001675245,0.001611044,0.001549303,0.001489929,0.00143283,0.001377919,0.001325112,0.00127433,0.001225493,0.001178528,0.001133363,0.001089929,0.001048159,0.00100799,0.00096936,0.000932211,0.000896486,0.000862129,0.00082909,0.000797316,0.00076676,0.000737375,0.000709117,0.000681941,0.000655807,0.000630674,0.000606504,0.000583261,0.000560909,0.000539413,0.000518741,0.000498861,0.000479743,0.000461357,0.000443677,0.000426673,0.000410322,0.000394597,0.000379475,0.000364932,0.000350946,0.000337497,0.000324563,0.000312125,0.000300163,0.00028866,0.000277597,0.000266959,0.000256728,0.000246889,0.000237428,0.000228329,0.000219578,0.000211163,0.000203071,0.000195289,0.000187804,0.000180607,0.000173686,0.000167029,0.000160628,0.000154473,0.000148553,0.00014286,0.000137385,0.00013212,0.000127056,0.000122187,0.000117505,0.000113001,0.000108671,0.000104506,0.000100501,9.66496E-05,9.29456E-05,8.93836E-05,8.59582E-05,8.2664E-05,7.9496E-05,7.64494E-05,7.35196E-05,7.07021E-05,6.79926E-05,6.53869E-05,6.2881E-05,6.04712E-05,5.81538E-05,5.59251E-05,5.37819E-05,5.17208E-05,4.97387E-05,4.78325E-05,4.59994E-05,4.42365E-05,4.25413E-05,4.09109E-05,3.93431E-05,3.78353E-05,3.63853E-05,3.49909E-05,3.365E-05,3.23604E-05,3.11202E-05,2.99276E-05,2.87807E-05,2.76777E-05,2.6617E-05,2.55969E-05,2.4616E-05,2.36726E-05,2.27654E-05,2.1893E-05,2.10539E-05,2.02471E-05,1.94711E-05,1.87249E-05,1.80073E-05,1.73172E-05,1.66536E-05,1.60154E-05,1.54016E-05,1.48114E-05,1.42437E-05,1.36979E-05,1.31729E-05,1.26681E-05,1.21826E-05,1.17157E-05,1.12667E-05,1.0835E-05,1.04197E-05,1.00204E-05,9.6364E-06,9.2671E-06,8.91195E-06,8.57041E-06,8.24197E-06,7.92611E-06
