,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
0,0.031747297,0.031274641,0.030809022,0.030350336,0.029898478,0.029453348,0.029014845,0.02858287,0.028157326,0.027738118,0.027325152,0.026918333,0.026517571,0.026122776,0.025733859,0.025350731,0.024973308,0.024601504,0.024235235,0.02387442,0.023518976,0.023168824,0.022823885,0.022484082,0.022149337,0.021819577,0.021494726,0.021174711,0.02085946,0.020548903,0.02024297,0.019941592,0.0196447,0.019352229,0.019064111,0.018780284,0.018500682,0.018225242,0.017953904,0.017686605,0.017423286,0.017163887,0.01690835,0.016656617,0.016408633,0.01616434,0.015923684,0.015686612,0.015453068,0.015223002,0.014996361,0.014773094,0.014553152,0.014336483,0.014123041,0.013912776,0.013705642,0.013501592,0.013300579,0.013102559,0.012907488,0.01271532,0.012526014,0.012339526,0.012155814,0.011974838,0.011796555,0.011620928,0.011447915,0.011277477,0.011109578,0.010944178,0.01078124,0.010620728,0.010462606,0.010306838,0.010153389,0.010002225,0.009853311,0.009706615,0.009562102,0.009419741,0.009279499,0.009141345,0.009005249,0.008871178,0.008739103,0.008608995,0.008480824,0.008354561,0.008230177,0.008107646,0.007986939,0.007868029,0.007750889,0.007635494,0.007521816,0.007409831,0.007299513,0.007190837,0.007083779,0.006978316,0.006874422,0.006772075,0.006671252,0.00657193,0.006474087,0.0063777,0.006282749,0.006189211,0.006097065,0.006006292,0.00591687,0.005828779,0.005742,0.005656513,0.005572298,0.005489338,0.005407612,0.005327103,0.005247793,0.005169663,0.005092697,0.005016877,0.004942185,0.004868606,0.004796122,0.004724717,0.004654375,0.00458508,0.004516817,0.004449571,0.004383325,0.004318066,0.004253778,0.004190448,0.00412806,0.004066601,0.004006057,0.003946415
1,0.003077355,0.003031539,0.002986405,0.002941944,0.002898144,0.002854996,0.002812491,0.002770618,0.002729369,0.002688734,0.002648704,0.00260927,0.002570423,0.002532154,0.002494455,0.002457318,0.002420733,0.002384693,0.00234919,0.002314215,0.002279761,0.002245819,0.002212384,0.002179445,0.002146998,0.002115033,0.002083544,0.002052524,0.002021966,0.001991863,0.001962208,0.001932995,0.001904216,0.001875866,0.001847938,0.001820426,0.001793323,0.001766624,0.001740323,0.001714412,0.001688888,0.001663744,0.001638974,0.001614573,0.001590535,0.001566855,0.001543528,0.001520547,0.001497909,0.001475609,0.00145364,0.001431998,0.001410678,0.001389676,0.001368986,0.001348605,0.001328527,0.001308747,0.001289263,0.001270068,0.001251159,0.001232532,0.001214182,0.001196105,0.001178297,0.001160755,0.001143473,0.001126449,0.001109679,0.001093158,0.001076883,0.00106085,0.001045056,0.001029497,0.00101417,0.000999071,0.000984197,0.000969544,0.000955109,0.00094089,0.000926882,0.000913082,0.000899488,0.000886096,0.000872904,0.000859908,0.000847106,0.000834494,0.00082207,0.000809831,0.000797774,0.000785897,0.000774197,0.00076267,0.000751316,0.00074013,0.000729111,0.000718256,0.000707562,0.000697028,0.000686651,0.000676428,0.000666357,0.000656436,0.000646663,0.000637036,0.000627551,0.000618208,0.000609005,0.000599938,0.000591006,0.000582207,0.000573539,0.000565,0.000556588,0.000548302,0.000540139,0.000532097,0.000524175,0.000516371,0.000508683,0.00050111,0.000493649,0.0004863,0.00047906,0.000471928,0.000464902,0.00045798,0.000451162,0.000444445,0.000437828,0.000431309,0.000424888,0.000418562,0.000412331,0.000406192,0.000400144,0.000394187,0.000388318,0.000382537
2,0.001609667,0.001585702,0.001562094,0.001538837,0.001515927,0.001493358,0.001471125,0.001449222,0.001427646,0.001406391,0.001385453,0.001364826,0.001344507,0.00132449,0.001304771,0.001285345,0.001266209,0.001247357,0.001228787,0.001210492,0.00119247,0.001174717,0.001157228,0.001139999,0.001123026,0.001106307,0.001089836,0.00107361,0.001057626,0.00104188,0.001026369,0.001011088,0.000996035,0.000981206,0.000966598,0.000952207,0.000938031,0.000924065,0.000910308,0.000896755,0.000883404,0.000870252,0.000857295,0.000844532,0.000831958,0.000819572,0.00080737,0.00079535,0.000783509,0.000771844,0.000760353,0.000749033,0.000737881,0.000726895,0.000716073,0.000705412,0.00069491,0.000684564,0.000674372,0.000664332,0.000654442,0.000644698,0.0006351,0.000625645,0.00061633,0.000607154,0.000598115,0.00058921,0.000580438,0.000571796,0.000563283,0.000554897,0.000546636,0.000538497,0.00053048,0.000522582,0.000514802,0.000507138,0.000499587,0.000492149,0.000484822,0.000477604,0.000470494,0.000463489,0.000456588,0.000449791,0.000443094,0.000436497,0.000429999,0.000423597,0.00041729,0.000411078,0.000404958,0.000398929,0.000392989,0.000387138,0.000381375,0.000375697,0.000370103,0.000364593,0.000359165,0.000353818,0.00034855,0.000343361,0.000338249,0.000333213,0.000328252,0.000323365,0.000318551,0.000313808,0.000309136,0.000304534,0.0003,0.000295534,0.000291134,0.000286799,0.000282529,0.000278323,0.000274179,0.000270097,0.000266076,0.000262115,0.000258212,0.000254368,0.000250581,0.00024685,0.000243175,0.000239555,0.000235988,0.000232475,0.000229014,0.000225604,0.000222245,0.000218937,0.000215677,0.000212466,0.000209303,0.000206187,0.000203117,0.000200093
3,0.001405989,0.001385057,0.001364436,0.001344122,0.001324111,0.001304397,0.001284977,0.001265846,0.001247,0.001228435,0.001210146,0.001192129,0.001174381,0.001156897,0.001139673,0.001122705,0.00110599,0.001089524,0.001073303,0.001057324,0.001041582,0.001026075,0.001010799,0.00099575,0.000980925,0.000966321,0.000951935,0.000937762,0.000923801,0.000910047,0.000896498,0.000883151,0.000870003,0.00085705,0.00084429,0.00083172,0.000819338,0.000807139,0.000795123,0.000783285,0.000771623,0.000760135,0.000748818,0.00073767,0.000726687,0.000715868,0.00070521,0.000694711,0.000684368,0.000674179,0.000664142,0.000654254,0.000644514,0.000634918,0.000625466,0.000616154,0.00060698,0.000597944,0.000589041,0.000580272,0.000571633,0.000563122,0.000554738,0.000546479,0.000538343,0.000530328,0.000522433,0.000514655,0.000506993,0.000499444,0.000492009,0.000484684,0.000477468,0.000470359,0.000463356,0.000456458,0.000449662,0.000442967,0.000436373,0.000429876,0.000423476,0.000417171,0.00041096,0.000404842,0.000398814,0.000392877,0.000387028,0.000381266,0.000375589,0.000369998,0.000364489,0.000359062,0.000353717,0.000348451,0.000343263,0.000338152,0.000333118,0.000328158,0.000323273,0.00031846,0.000313719,0.000309048,0.000304447,0.000299914,0.000295449,0.00029105,0.000286717,0.000282449,0.000278243,0.000274101,0.00027002,0.000266,0.00026204,0.000258139,0.000254295,0.000250509,0.00024678,0.000243106,0.000239486,0.000235921,0.000232408,0.000228948,0.00022554,0.000222182,0.000218874,0.000215615,0.000212405,0.000209243,0.000206128,0.000203059,0.000200036,0.000197058,0.000194124,0.000191234,0.000188387,0.000185582,0.000182819,0.000180097,0.000177416,0.000174774
4,0.00117157,0.001154128,0.001136945,0.001120018,0.001103344,0.001086917,0.001070735,0.001054794,0.00103909,0.00102362,0.00100838,0.000993367,0.000978578,0.000964009,0.000949657,0.000935518,0.00092159,0.000907869,0.000894353,0.000881038,0.000867921,0.000854999,0.00084227,0.00082973,0.000817377,0.000805208,0.00079322,0.00078141,0.000769777,0.000758316,0.000747026,0.000735905,0.000724948,0.000714155,0.000703523,0.000693049,0.000682731,0.000672566,0.000662553,0.000652689,0.000642972,0.000633399,0.000623969,0.000614679,0.000605528,0.000596513,0.000587632,0.000578883,0.000570265,0.000561774,0.000553411,0.000545171,0.000537055,0.000529059,0.000521183,0.000513423,0.000505779,0.000498249,0.000490831,0.000483524,0.000476325,0.000469233,0.000462247,0.000455366,0.000448586,0.000441907,0.000435328,0.000428847,0.000422462,0.000416173,0.000409977,0.000403873,0.00039786,0.000391937,0.000386102,0.000380353,0.000374691,0.000369112,0.000363617,0.000358203,0.00035287,0.000347617,0.000342441,0.000337343,0.000332321,0.000327373,0.000322499,0.000317698,0.000312968,0.000308308,0.000303718,0.000299196,0.000294742,0.000290354,0.000286031,0.000281773,0.000277578,0.000273445,0.000269374,0.000265363,0.000261413,0.000257521,0.000253687,0.00024991,0.000246189,0.000242524,0.000238913,0.000235356,0.000231852,0.0002284,0.000225,0.00022165,0.00021835,0.000215099,0.000211897,0.000208742,0.000205635,0.000202573,0.000199557,0.000196586,0.000193659,0.000190776,0.000187936,0.000185138,0.000182381,0.000179666,0.000176991,0.000174356,0.00017176,0.000169203,0.000166684,0.000164202,0.000161758,0.00015935,0.000156977,0.00015464,0.000152338,0.00015007,0.000147836,0.000145635
5,0.001118222,0.001101574,0.001085173,0.001069017,0.001053102,0.001037423,0.001021978,0.001006763,0.000991774,0.000977008,0.000962462,0.000948133,0.000934017,0.000920112,0.000906413,0.000892918,0.000879624,0.000866529,0.000853628,0.000840919,0.000828399,0.000816066,0.000803916,0.000791947,0.000780157,0.000768542,0.0007571,0.000745828,0.000734724,0.000723785,0.00071301,0.000702394,0.000691937,0.000681636,0.000671487,0.00066149,0.000651642,0.00064194,0.000632383,0.000622968,0.000613693,0.000604556,0.000595556,0.000586689,0.000577954,0.00056935,0.000560873,0.000552523,0.000544297,0.000536193,0.000528211,0.000520347,0.0005126,0.000504968,0.00049745,0.000490044,0.000482748,0.000475561,0.000468481,0.000461506,0.000454635,0.000447866,0.000441199,0.00043463,0.000428159,0.000421785,0.000415505,0.000409319,0.000403225,0.000397222,0.000391308,0.000385482,0.000379743,0.000374089,0.00036852,0.000363033,0.000357629,0.000352304,0.000347059,0.000341892,0.000336802,0.000331788,0.000326848,0.000321982,0.000317188,0.000312466,0.000307814,0.000303231,0.000298717,0.000294269,0.000289888,0.000285572,0.000281321,0.000277132,0.000273006,0.000268942,0.000264938,0.000260993,0.000257108,0.00025328,0.000249509,0.000245794,0.000242135,0.00023853,0.000234979,0.00023148,0.000228034,0.000224639,0.000221295,0.000218,0.000214754,0.000211557,0.000208407,0.000205305,0.000202248,0.000199237,0.000196271,0.000193349,0.00019047,0.000187634,0.000184841,0.000182089,0.000179378,0.000176707,0.000174077,0.000171485,0.000168932,0.000166417,0.000163939,0.000161498,0.000159094,0.000156725,0.000154392,0.000152093,0.000149829,0.000147598,0.000145401,0.000143236,0.000141104,0.000139003
6,0.001000512,0.000985616,0.000970942,0.000956487,0.000942247,0.000928218,0.000914399,0.000900785,0.000887374,0.000874163,0.000861149,0.000848328,0.000835698,0.000823256,0.000810999,0.000798925,0.000787031,0.000775313,0.00076377,0.000752399,0.000741197,0.000730162,0.000719292,0.000708583,0.000698033,0.000687641,0.000677403,0.000667318,0.000657383,0.000647596,0.000637955,0.000628457,0.0006191,0.000609883,0.000600803,0.000591858,0.000583047,0.000574366,0.000565815,0.000557391,0.000549093,0.000540918,0.000532864,0.000524931,0.000517116,0.000509417,0.000501833,0.000494361,0.000487001,0.000479751,0.000472608,0.000465572,0.000458641,0.000451812,0.000445086,0.000438459,0.000431932,0.000425501,0.000419166,0.000412925,0.000406778,0.000400722,0.000394756,0.000388879,0.000383089,0.000377385,0.000371767,0.000366232,0.00036078,0.000355408,0.000350117,0.000344904,0.000339769,0.000334711,0.000329728,0.000324819,0.000319983,0.000315219,0.000310526,0.000305903,0.000301348,0.000296862,0.000292442,0.000288088,0.000283799,0.000279574,0.000275412,0.000271311,0.000267272,0.000263293,0.000259373,0.000255511,0.000251707,0.00024796,0.000244268,0.000240632,0.000237049,0.00023352,0.000230043,0.000226618,0.000223244,0.000219921,0.000216647,0.000213421,0.000210244,0.000207114,0.00020403,0.000200992,0.000198,0.000195052,0.000192148,0.000189288,0.000186469,0.000183693,0.000180958,0.000178264,0.00017561,0.000172996,0.00017042,0.000167883,0.000165384,0.000162921,0.000160496,0.000158106,0.000155752,0.000153433,0.000151149,0.000148899,0.000146682,0.000144498,0.000142347,0.000140228,0.00013814,0.000136083,0.000134057,0.000132061,0.000130095,0.000128158,0.00012625,0.000124371
7,0.000950771,0.000936616,0.000922672,0.000908935,0.000895403,0.000882072,0.000868939,0.000856003,0.000843258,0.000830704,0.000818336,0.000806153,0.000794151,0.000782327,0.00077068,0.000759206,0.000747903,0.000736768,0.000725799,0.000714993,0.000704349,0.000693862,0.000683532,0.000673356,0.000663331,0.000653455,0.000643726,0.000634142,0.000624701,0.000615401,0.000606238,0.000597213,0.000588321,0.000579562,0.000570934,0.000562434,0.00055406,0.000545811,0.000537685,0.00052968,0.000521794,0.000514026,0.000506373,0.000498834,0.000491407,0.000484091,0.000476884,0.000469784,0.00046279,0.0004559,0.000449113,0.000442426,0.000435839,0.00042935,0.000422958,0.000416661,0.000410458,0.000404347,0.000398327,0.000392397,0.000386555,0.0003808,0.00037513,0.000369545,0.000364044,0.000358624,0.000353284,0.000348025,0.000342843,0.000337739,0.000332711,0.000327757,0.000322878,0.000318071,0.000313335,0.00030867,0.000304075,0.000299548,0.000295088,0.000290695,0.000286367,0.000282103,0.000277903,0.000273766,0.00026969,0.000265675,0.00026172,0.000257823,0.000253985,0.000250203,0.000246478,0.000242809,0.000239194,0.000235633,0.000232124,0.000228669,0.000225264,0.00022191,0.000218607,0.000215352,0.000212146,0.000208987,0.000205876,0.000202811,0.000199791,0.000196817,0.000193887,0.000191,0.000188156,0.000185355,0.000182596,0.000179877,0.000177199,0.000174561,0.000171962,0.000169402,0.00016688,0.000164395,0.000161948,0.000159537,0.000157161,0.000154822,0.000152517,0.000150246,0.000148009,0.000145805,0.000143635,0.000141496,0.00013939,0.000137314,0.00013527,0.000133256,0.000131272,0.000129318,0.000127393,0.000125496,0.000123628,0.000121787,0.000119974,0.000118188
8,0.000867964,0.000855041,0.000842311,0.000829771,0.000817417,0.000805248,0.000793259,0.000781449,0.000769815,0.000758354,0.000747063,0.000735941,0.000724984,0.00071419,0.000703558,0.000693083,0.000682764,0.000672599,0.000662586,0.000652721,0.000643003,0.00063343,0.000624,0.000614709,0.000605558,0.000596542,0.000587661,0.000578912,0.000570293,0.000561802,0.000553438,0.000545198,0.000537081,0.000529085,0.000521208,0.000513449,0.000505804,0.000498274,0.000490855,0.000483548,0.000476349,0.000469257,0.00046227,0.000455388,0.000448608,0.000441929,0.00043535,0.000428868,0.000422483,0.000416193,0.000409997,0.000403893,0.00039788,0.000391956,0.000386121,0.000380372,0.000374709,0.00036913,0.000363635,0.000358221,0.000352888,0.000347634,0.000342458,0.00033736,0.000332337,0.000327389,0.000322515,0.000317713,0.000312983,0.000308324,0.000303733,0.000299211,0.000294757,0.000290368,0.000286045,0.000281787,0.000277591,0.000273458,0.000269387,0.000265377,0.000261426,0.000257533,0.000253699,0.000249922,0.000246201,0.000242536,0.000238925,0.000235368,0.000231864,0.000228412,0.000225011,0.000221661,0.000218361,0.00021511,0.000211907,0.000208753,0.000205645,0.000202583,0.000199567,0.000196596,0.000193669,0.000190785,0.000187945,0.000185147,0.00018239,0.000179675,0.000177,0.000174365,0.000171769,0.000169212,0.000166692,0.000164211,0.000161766,0.000159357,0.000156985,0.000154648,0.000152345,0.000150077,0.000147843,0.000145642,0.000143473,0.000141337,0.000139233,0.00013716,0.000135118,0.000133107,0.000131125,0.000129173,0.00012725,0.000125355,0.000123489,0.00012165,0.000119839,0.000118055,0.000116297,0.000114566,0.00011286,0.00011118,0.000109525,0.000107894
9,0.000826057,0.000813758,0.000801643,0.000789708,0.000777951,0.000766369,0.000754959,0.000743719,0.000732647,0.000721739,0.000710994,0.000700408,0.000689981,0.000679708,0.000669589,0.00065962,0.000649799,0.000640125,0.000630595,0.000621207,0.000611958,0.000602847,0.000593872,0.00058503,0.00057632,0.00056774,0.000559287,0.000550961,0.000542758,0.000534677,0.000526717,0.000518875,0.00051115,0.00050354,0.000496043,0.000488658,0.000481383,0.000474216,0.000467156,0.000460201,0.00045335,0.0004466,0.000439951,0.000433401,0.000426949,0.000420592,0.00041433,0.000408162,0.000402085,0.000396099,0.000390202,0.000384392,0.000378669,0.000373032,0.000367478,0.000362007,0.000356617,0.000351308,0.000346078,0.000340925,0.00033585,0.000330849,0.000325924,0.000321071,0.000316291,0.000311582,0.000306943,0.000302374,0.000297872,0.000293437,0.000289068,0.000284765,0.000280525,0.000276349,0.000272234,0.000268181,0.000264189,0.000260255,0.000256381,0.000252564,0.000248804,0.000245099,0.00024145,0.000237856,0.000234314,0.000230826,0.000227389,0.000224004,0.000220669,0.000217384,0.000214147,0.000210959,0.000207818,0.000204724,0.000201676,0.000198674,0.000195716,0.000192802,0.000189932,0.000187104,0.000184318,0.000181574,0.000178871,0.000176208,0.000173584,0.000171,0.000168454,0.000165946,0.000163476,0.000161042,0.000158644,0.000156282,0.000153955,0.000151663,0.000149405,0.000147181,0.00014499,0.000142831,0.000140705,0.00013861,0.000136546,0.000134513,0.000132511,0.000130538,0.000128594,0.00012668,0.000124794,0.000122936,0.000121106,0.000119303,0.000117526,0.000115777,0.000114053,0.000112355,0.000110682,0.000109034,0.000107411,0.000105812,0.000104237,0.000102685
