PERM2020_Col_1er,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049
0,0.17463252,0.167785081,0.161206134,0.154885151,0.148812017,0.142977015,0.137370806,0.131984419,0.126809236,0.121836975,0.117059679,0.112469703,0.108059703,0.103822622,0.099751678,0.095840359,0.092082405,0.088471802,0.085002773,0.081669767,0.078467449,0.075390697,0.072434585,0.069594384,0.06686555,0.064243714,0.061724682,0.059304422,0.056979063,0.054744882,0.052598304,0.050535895,0.048554354,0.046650511,0.044821318,0.043063849,0.041375292,0.039752943,0.038194208,0.036696592,0.035257698,0.033875224,0.032546957,0.031270773,0.030044628,0.028866561,0.027734687,0.026647195,0.025602343,0.024598461,0.023633942,0.022707241,0.021816878,0.020961426,0.020139517,0.019349835,0.018591117,0.017862149,0.017161764,0.016488842,0.015842305,0.015221119,0.014624291,0.014050864,0.013499922,0.012970582,0.012461998,0.011973356,0.011503874,0.011052801,0.010619414,0.010203021,0.009802955,0.009418576,0.009049268,0.008694441,0.008353527,0.008025981,0.007711278,0.007408914,0.007118406,0.00683929,0.006571117,0.00631346,0.006065906,0.005828058,0.005599537,0.005379976,0.005169024,0.004966344,0.004771611,0.004584513,0.004404752,0.004232039,0.004066098,0.003906664,0.003753482,0.003606306,0.0034649,0.00332904,0.003198506,0.003073091,0.002952593,0.00283682,0.002725587,0.002618715,0.002516034,0.002417379,0.002322592,0.002231522,0.002144023,0.002059954,0.001979183,0.001901578,0.001827016,0.001755377,0.001686548,0.001620418,0.00155688,0.001495834,0.001437181,0.001380829,0.001326686,0.001274666,0.001224685,0.001176665,0.001130527,0.001086198,0.001043608,0.001002687,0.000963372,0.000925597,0.000889304,0.000854434,0.000820931,0.000788742,0.000757815,0.000728101,0.000699551,0.000672122,0.000645767,0.000620446,0.000596118,0.000572744,0.000550287,0.00052871,0.000507979,0.00048806,0.000468923,0.000450537
1,0.010634804,0.010217808,0.009817162,0.009432225,0.009062383,0.008707041,0.008365634,0.008037612,0.007722453,0.007419651,0.007128723,0.006849201,0.00658064,0.00632261,0.006074697,0.005836504,0.005607652,0.005387773,0.005176515,0.004973541,0.004778526,0.004591157,0.004411135,0.004238172,0.004071991,0.003912326,0.003758921,0.003611532,0.003469922,0.003333864,0.003203142,0.003077545,0.002956872,0.002840932,0.002729537,0.002622511,0.00251968,0.002420882,0.002325958,0.002234756,0.00214713,0.00206294,0.001982051,0.001904333,0.001829663,0.001757921,0.001688992,0.001622766,0.001559136,0.001498002,0.001439264,0.00138283,0.001328608,0.001276513,0.00122646,0.00117837,0.001132165,0.001087773,0.00104512,0.001004141,0.000964768,0.000926939,0.000890593,0.000855672,0.000822121,0.000789885,0.000758913,0.000729156,0.000700565,0.000673096,0.000646703,0.000621346,0.000596982,0.000573574,0.000551084,0.000529476,0.000508715,0.000488768,0.000469603,0.000451189,0.000433498,0.0004165,0.000400169,0.000384478,0.000369403,0.000354918,0.000341002,0.000327631,0.000314784,0.000302441,0.000290582,0.000279189,0.000268241,0.000257724,0.000247618,0.000237909,0.00022858,0.000219617,0.000211006,0.000202732,0.000194783,0.000187146,0.000179808,0.000172757,0.000165983,0.000159475,0.000153222,0.000147214,0.000141442,0.000135896,0.000130567,0.000125448,0.000120529,0.000115803,0.000111262,0.000106899,0.000102708,9.86805E-05,9.48112E-05,9.10936E-05,8.75218E-05,8.409E-05,8.07928E-05,7.76248E-05,7.45811E-05,7.16567E-05,6.8847E-05,6.61475E-05,6.35538E-05,6.10619E-05,5.86676E-05,5.63672E-05,5.4157E-05,5.20335E-05,4.99932E-05,4.8033E-05,4.61496E-05,4.434E-05,4.26014E-05,4.0931E-05,3.93261E-05,3.77841E-05,3.63025E-05,3.48791E-05,3.35115E-05,3.21975E-05,3.0935E-05,2.9722E-05,2.85566E-05,2.74369E-05
2,0.008821129,0.008475248,0.008142928,0.00782364,0.00751687,0.00722213,0.006938946,0.006666866,0.006405454,0.006154293,0.00591298,0.005681128,0.005458368,0.005244342,0.005038709,0.004841138,0.004651315,0.004468934,0.004293704,0.004125346,0.003963589,0.003808174,0.003658854,0.003515388,0.003377548,0.003245112,0.003117869,0.002995616,0.002878156,0.002765302,0.002656873,0.002552696,0.002452603,0.002356435,0.002264038,0.002175264,0.00208997,0.002008021,0.001929286,0.001853637,0.001780955,0.001711123,0.001644029,0.001579566,0.00151763,0.001458123,0.001400949,0.001346017,0.001293239,0.00124253,0.00119381,0.001147,0.001102026,0.001058814,0.001017298,0.000977409,0.000939084,0.000902262,0.000866884,0.000832893,0.000800235,0.000768857,0.00073871,0.000709745,0.000681915,0.000655177,0.000629487,0.000604804,0.00058109,0.000558305,0.000536413,0.00051538,0.000495172,0.000475756,0.000457101,0.000439178,0.000421958,0.000405413,0.000389516,0.000374243,0.000359569,0.00034547,0.000331924,0.000318909,0.000306404,0.00029439,0.000282847,0.000271756,0.0002611,0.000250863,0.000241026,0.000231575,0.000222495,0.000213771,0.000205389,0.000197335,0.000189598,0.000182164,0.000175021,0.000168158,0.000161565,0.00015523,0.000149143,0.000143295,0.000137676,0.000132278,0.000127091,0.000122108,0.00011732,0.00011272,0.0001083,0.000104053,9.99735E-05,9.60535E-05,9.22872E-05,8.86685E-05,8.51918E-05,8.18514E-05,7.86419E-05,7.55583E-05,7.25957E-05,6.97491E-05,6.70142E-05,6.43866E-05,6.18619E-05,5.94363E-05,5.71058E-05,5.48666E-05,5.27153E-05,5.06483E-05,4.86623E-05,4.67542E-05,4.4921E-05,4.31596E-05,4.14673E-05,3.98413E-05,3.82791E-05,3.67782E-05,3.53361E-05,3.39506E-05,3.26193E-05,3.13403E-05,3.01114E-05,2.89308E-05,2.77964E-05,2.67065E-05,2.56593E-05,2.46532E-05,2.36865E-05,2.27577E-05
3,0.007274588,0.006989347,0.006715291,0.00645198,0.006198995,0.005955929,0.005722393,0.005498015,0.005282435,0.005075308,0.004876302,0.004685099,0.004501394,0.004324892,0.00415531,0.003992378,0.003835835,0.00368543,0.003540922,0.00340208,0.003268683,0.003140516,0.003017375,0.002899062,0.002785388,0.002676171,0.002571237,0.002470417,0.002373551,0.002280483,0.002191064,0.002105151,0.002022607,0.001943299,0.001867101,0.001793891,0.001723552,0.00165597,0.001591039,0.001528653,0.001468714,0.001411125,0.001355794,0.001302632,0.001251555,0.001202481,0.001155331,0.00111003,0.001066505,0.001024687,0.000984508,0.000945905,0.000908816,0.000873181,0.000838943,0.000806047,0.000774442,0.000744075,0.0007149,0.000686868,0.000659936,0.000634059,0.000609197,0.00058531,0.00056236,0.00054031,0.000519124,0.000498769,0.000479212,0.000460422,0.000442368,0.000425023,0.000408357,0.000392345,0.000376961,0.00036218,0.000347979,0.000334335,0.000321225,0.00030863,0.000296528,0.000284901,0.00027373,0.000262997,0.000252685,0.000242777,0.000233257,0.000224111,0.000215324,0.000206881,0.000198769,0.000190975,0.000183487,0.000176292,0.00016938,0.000162738,0.000156357,0.000150226,0.000144336,0.000138676,0.000133239,0.000128014,0.000122995,0.000118172,0.000113539,0.000109087,0.000104809,0.0001007,9.67512E-05,9.29575E-05,8.93126E-05,8.58106E-05,8.24459E-05,7.92132E-05,7.61072E-05,7.3123E-05,7.02558E-05,6.7501E-05,6.48542E-05,6.23113E-05,5.9868E-05,5.75206E-05,5.52651E-05,5.30982E-05,5.10162E-05,4.90158E-05,4.70938E-05,4.52473E-05,4.34731E-05,4.17685E-05,4.01307E-05,3.85572E-05,3.70453E-05,3.55928E-05,3.41972E-05,3.28563E-05,3.1568E-05,3.03302E-05,2.91409E-05,2.79983E-05,2.69004E-05,2.58457E-05,2.48322E-05,2.38585E-05,2.2923E-05,2.20242E-05,2.11606E-05,2.03309E-05,1.95337E-05,1.87678E-05
4,0.005971481,0.005737336,0.005512372,0.005296228,0.00508856,0.004889035,0.004697333,0.004513148,0.004336185,0.004166161,0.004002803,0.003845851,0.003695053,0.003550168,0.003410964,0.003277218,0.003148717,0.003025254,0.002906632,0.002792661,0.002683159,0.002577951,0.002476868,0.002379749,0.002286438,0.002196785,0.002110648,0.002027888,0.001948374,0.001871977,0.001798575,0.001728052,0.001660294,0.001595193,0.001532645,0.001472549,0.00141481,0.001359334,0.001306034,0.001254824,0.001205621,0.001158348,0.001112929,0.00106929,0.001027363,0.000987079,0.000948375,0.000911189,0.000875461,0.000841133,0.000808152,0.000776464,0.000746018,0.000716767,0.000688662,0.000661659,0.000635715,0.000610788,0.000586839,0.000563829,0.000541721,0.000520479,0.000500071,0.000480463,0.000461624,0.000443523,0.000426132,0.000409424,0.00039337,0.000377946,0.000363126,0.000348888,0.000335208,0.000322064,0.000309436,0.000297303,0.000285645,0.000274445,0.000263684,0.000253345,0.000243411,0.000233866,0.000224696,0.000215886,0.000207421,0.000199288,0.000191474,0.000183966,0.000176752,0.000169822,0.000163163,0.000156765,0.000150619,0.000144713,0.000139038,0.000133587,0.000128349,0.000123316,0.000118481,0.000113835,0.000109371,0.000105083,0.000100963,9.70038E-05,9.32002E-05,8.95458E-05,8.60347E-05,8.26612E-05,0.00007942,7.63059E-05,7.33139E-05,7.04392E-05,6.76773E-05,6.50236E-05,6.2474E-05,6.00243E-05,5.76708E-05,5.54095E-05,5.32368E-05,5.11494E-05,4.91438E-05,4.72168E-05,4.53654E-05,4.35866E-05,4.18776E-05,4.02355E-05,3.86579E-05,3.71421E-05,3.56857E-05,3.42864E-05,3.29421E-05,3.16504E-05,3.04094E-05,2.9217E-05,2.80714E-05,2.69707E-05,2.59131E-05,2.48971E-05,2.39208E-05,2.29829E-05,2.20817E-05,2.12159E-05,2.0384E-05,1.95847E-05,1.88168E-05,1.8079E-05,1.73701E-05,1.6689E-05,1.60346E-05,1.54059E-05
5,0.004954972,0.004760685,0.004574015,0.004394666,0.004222348,0.004056788,0.003897719,0.003744887,0.003598048,0.003456967,0.003321417,0.003191182,0.003066054,0.002945833,0.002830325,0.002719346,0.002612719,0.002510273,0.002411844,0.002317274,0.002226412,0.002139113,0.002055238,0.001974651,0.001897223,0.001822832,0.001751358,0.001682686,0.001616707,0.001553315,0.001492409,0.001433891,0.001377667,0.001323648,0.001271747,0.001221881,0.00117397,0.001127938,0.001083711,0.001041218,0.001000392,0.000961166,0.000923478,0.000887268,0.000852477,0.000819051,0.000786936,0.00075608,0.000726433,0.00069795,0.000670583,0.000644289,0.000619026,0.000594753,0.000571433,0.000549027,0.000527499,0.000506815,0.000486943,0.00046785,0.000449505,0.00043188,0.000414945,0.000398675,0.000383043,0.000368023,0.000353593,0.000339728,0.000326408,0.000313609,0.000301312,0.000289498,0.000278146,0.00026724,0.000256761,0.000246694,0.000237021,0.000227727,0.000218798,0.000210218,0.000201976,0.000194056,0.000186447,0.000179136,0.000172112,0.000165364,0.00015888,0.00015265,0.000146664,0.000140914,0.000135388,0.00013008,0.000124979,0.000120079,0.00011537,0.000110847,0.0001065,0.000102324,9.83121E-05,9.44572E-05,9.07535E-05,8.7195E-05,8.3776E-05,8.04911E-05,7.7335E-05,7.43027E-05,7.13892E-05,0.00006859,6.59005E-05,6.33166E-05,6.08339E-05,5.84485E-05,5.61567E-05,5.39548E-05,5.18392E-05,4.98066E-05,4.78536E-05,4.59773E-05,4.41745E-05,4.24424E-05,4.07782E-05,3.91792E-05,3.7643E-05,3.6167E-05,3.47489E-05,3.33863E-05,3.20772E-05,3.08195E-05,2.9611E-05,2.845E-05,2.73344E-05,2.62626E-05,2.52329E-05,2.42435E-05,2.32929E-05,2.23795E-05,2.1502E-05,2.06589E-05,1.98489E-05,1.90706E-05,1.83228E-05,1.76044E-05,1.69141E-05,1.62509E-05,1.56137E-05,1.50014E-05,1.44132E-05,1.38481E-05,1.33051E-05,1.27834E-05
6,0.004196919,0.004032356,0.003874245,0.003722333,0.003576379,0.003436147,0.003301414,0.003171963,0.003047589,0.002928091,0.002813279,0.002702969,0.002596984,0.002495155,0.002397318,0.002303318,0.002213004,0.002126231,0.00204286,0.001962758,0.001885797,0.001811854,0.00174081,0.001672552,0.001606971,0.00154396,0.001483421,0.001425255,0.00136937,0.001315676,0.001264088,0.001214522,0.0011669,0.001121145,0.001077185,0.001034948,0.000994367,0.000955377,0.000917916,0.000881924,0.000847343,0.000814119,0.000782197,0.000751526,0.000722058,0.000693746,0.000666544,0.000640408,0.000615298,0.000591171,0.000567991,0.00054572,0.000524322,0.000503763,0.00048401,0.000465032,0.000446798,0.000429279,0.000412446,0.000396274,0.000380736,0.000365807,0.000351464,0.000337682,0.000324442,0.00031172,0.000299497,0.000287754,0.000276471,0.00026563,0.000255215,0.000245208,0.000235593,0.000226355,0.00021748,0.000208952,0.000200759,0.000192887,0.000185324,0.000178057,0.000171076,0.000164368,0.000157923,0.000151731,0.000145781,0.000140065,0.000134573,0.000129296,0.000124226,0.000119355,0.000114675,0.000110179,0.000105859,0.000101708,9.772E-05,9.38883E-05,9.02069E-05,8.66698E-05,8.32715E-05,8.00064E-05,7.68693E-05,7.38552E-05,7.09593E-05,6.81769E-05,6.55037E-05,6.29352E-05,6.04675E-05,5.80965E-05,5.58185E-05,5.36299E-05,5.1527E-05,4.95066E-05,4.75654E-05,4.57004E-05,4.39084E-05,4.21867E-05,4.05326E-05,3.89433E-05,3.74163E-05,3.59492E-05,3.45396E-05,3.31853E-05,3.18841E-05,3.06339E-05,2.94327E-05,2.82786E-05,2.71698E-05,2.61045E-05,2.50809E-05,2.40975E-05,2.31526E-05,2.22448E-05,2.13725E-05,2.05345E-05,1.97293E-05,1.89557E-05,1.82125E-05,1.74983E-05,1.68122E-05,1.6153E-05,1.55196E-05,1.49111E-05,1.43264E-05,1.37647E-05,1.3225E-05,1.27064E-05,1.22082E-05,1.17295E-05,1.12696E-05,1.08277E-05
7,0.003731434,0.003585122,0.003444547,0.003309485,0.003179718,0.003055039,0.00293525,0.002820157,0.002709577,0.002603333,0.002501255,0.002403179,0.002308949,0.002218414,0.002131429,0.002047854,0.001967557,0.001890408,0.001816284,0.001745066,0.001676641,0.001610899,0.001547735,0.001487047,0.001428739,0.001372718,0.001318893,0.001267178,0.001217491,0.001169753,0.001123886,0.001079818,0.001037478,0.000996798,0.000957713,0.00092016,0.00088408,0.000849415,0.000816109,0.000784109,0.000753363,0.000723824,0.000695442,0.000668173,0.000641974,0.000616802,0.000592617,0.00056938,0.000547054,0.000525604,0.000504995,0.000485194,0.000466169,0.00044789,0.000430328,0.000413455,0.000397243,0.000381667,0.000366701,0.000352323,0.000338508,0.000325235,0.000312482,0.00030023,0.000288458,0.000277147,0.00026628,0.000255839,0.000245807,0.000236169,0.000226909,0.000218011,0.000209463,0.00020125,0.000193359,0.000185777,0.000178493,0.000171494,0.00016477,0.000158309,0.000152101,0.000146137,0.000140407,0.000134902,0.000129612,0.00012453,0.000119647,0.000114956,0.000110448,0.000106118,0.000101957,9.79589E-05,9.41179E-05,9.04274E-05,8.68817E-05,8.34751E-05,8.02019E-05,7.70572E-05,7.40357E-05,7.11327E-05,6.83436E-05,6.56638E-05,6.30891E-05,6.06153E-05,5.82386E-05,0.000055955,5.3761E-05,5.1653E-05,4.96276E-05,4.76817E-05,4.58121E-05,4.40158E-05,4.22899E-05,4.06317E-05,3.90385E-05,3.75078E-05,3.60371E-05,3.4624E-05,3.32664E-05,3.1962E-05,3.07088E-05,2.95046E-05,2.83478E-05,2.72362E-05,2.61683E-05,2.51422E-05,2.41564E-05,2.32092E-05,2.22991E-05,2.14248E-05,2.05847E-05,1.97776E-05,1.90021E-05,1.8257E-05,1.75411E-05,1.68533E-05,1.61925E-05,1.55576E-05,1.49476E-05,1.43615E-05,1.37983E-05,1.32573E-05,1.27375E-05,1.2238E-05,1.17582E-05,1.12971E-05,1.08542E-05,1.04286E-05,1.00196E-05,9.62677E-06
8,0.003411648,0.003277876,0.003149348,0.003025861,0.002907215,0.002793221,0.002683698,0.002578468,0.002477365,0.002380226,0.002286896,0.002197226,0.002111071,0.002028295,0.001948764,0.001872352,0.001798936,0.001728399,0.001660628,0.001595513,0.001532952,0.001472845,0.001415093,0.001359607,0.001306296,0.001255075,0.001205863,0.001158581,0.001113152,0.001069505,0.001027569,0.000987277,0.000948566,0.000911372,0.000875636,0.000841302,0.000808314,0.00077662,0.000746168,0.00071691,0.0006888,0.000661792,0.000635842,0.000610911,0.000586957,0.000563942,0.000541829,0.000520584,0.000500171,0.000480559,0.000461716,0.000443612,0.000426218,0.000409506,0.000393449,0.000378021,0.000363199,0.000348958,0.000335275,0.000322129,0.000309498,0.000297362,0.000285702,0.0002745,0.000263737,0.000253395,0.00024346,0.000233913,0.000224742,0.000215929,0.000207463,0.000199328,0.000191512,0.000184003,0.000176788,0.000169856,0.000163196,0.000156797,0.000150649,0.000144742,0.000139066,0.000133613,0.000128374,0.000123341,0.000118504,0.000113858,0.000109393,0.000105104,0.000100983,9.70233E-05,9.32189E-05,8.95638E-05,8.60519E-05,8.26778E-05,7.94359E-05,7.63212E-05,7.33286E-05,7.04534E-05,6.76908E-05,6.50366E-05,6.24865E-05,6.00364E-05,5.76823E-05,5.54206E-05,5.32475E-05,5.11596E-05,4.91536E-05,4.72263E-05,4.53745E-05,4.35954E-05,4.1886E-05,4.02436E-05,3.86656E-05,3.71495E-05,3.56929E-05,3.42933E-05,3.29487E-05,3.16567E-05,3.04155E-05,2.92228E-05,2.8077E-05,2.69761E-05,2.59183E-05,2.49021E-05,2.39256E-05,2.29875E-05,2.20862E-05,2.12201E-05,2.03881E-05,1.95887E-05,1.88206E-05,1.80826E-05,1.73736E-05,1.66924E-05,1.60378E-05,1.5409E-05,1.48048E-05,1.42243E-05,1.36665E-05,1.31307E-05,1.26158E-05,1.21211E-05,1.16459E-05,1.11892E-05,1.07505E-05,1.0329E-05,9.92395E-06,9.53482E-06,9.16096E-06,8.80175E-06
9,0.003277876,0.003149348,0.003025861,0.002907215,0.002793221,0.002683698,0.002578468,0.002477365,0.002380226,0.002286896,0.002197226,0.002111071,0.002028295,0.001948764,0.001872352,0.001798936,0.001728399,0.001660628,0.001595513,0.001532952,0.001472845,0.001415093,0.001359607,0.001306296,0.001255075,0.001205863,0.001158581,0.001113152,0.001069505,0.001027569,0.000987277,0.000948566,0.000911372,0.000875636,0.000841302,0.000808314,0.00077662,0.000746168,0.00071691,0.0006888,0.000661792,0.000635842,0.000610911,0.000586957,0.000563942,0.000541829,0.000520584,0.000500171,0.000480559,0.000461716,0.000443612,0.000426218,0.000409506,0.000393449,0.000378021,0.000363199,0.000348958,0.000335275,0.000322129,0.000309498,0.000297362,0.000285702,0.0002745,0.000263737,0.000253395,0.00024346,0.000233913,0.000224742,0.000215929,0.000207463,0.000199328,0.000191512,0.000184003,0.000176788,0.000169856,0.000163196,0.000156797,0.000150649,0.000144742,0.000139066,0.000133613,0.000128374,0.000123341,0.000118504,0.000113858,0.000109393,0.000105104,0.000100983,9.70233E-05,9.32189E-05,8.95638E-05,8.60519E-05,8.26778E-05,7.94359E-05,7.63212E-05,7.33286E-05,7.04534E-05,6.76908E-05,6.50366E-05,6.24865E-05,6.00364E-05,5.76823E-05,5.54206E-05,5.32475E-05,5.11596E-05,4.91536E-05,4.72263E-05,4.53745E-05,4.35954E-05,4.1886E-05,4.02436E-05,3.86656E-05,3.71495E-05,3.56929E-05,3.42933E-05,3.29487E-05,3.16567E-05,3.04155E-05,2.92228E-05,2.8077E-05,2.69761E-05,2.59183E-05,2.49021E-05,2.39256E-05,2.29875E-05,2.20862E-05,2.12201E-05,2.03881E-05,1.95887E-05,1.88206E-05,1.80826E-05,1.73736E-05,1.66924E-05,1.60378E-05,1.5409E-05,1.48048E-05,1.42243E-05,1.36665E-05,1.31307E-05,1.26158E-05,1.21211E-05,1.16459E-05,1.11892E-05,1.07505E-05,1.0329E-05,9.92395E-06,9.53482E-06,9.16096E-06,8.80175E-06,8.45663E-06
