PERM2020_Col_2ndo,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049
0,0.110528175,0.106726605,0.103055788,0.099511227,0.09608858,0.092783653,0.089592398,0.086510904,0.083535398,0.080662233,0.077887889,0.075208967,0.072622186,0.070124376,0.067712478,0.065383535,0.063134696,0.060963204,0.0588664,0.056841715,0.054886668,0.052998863,0.05117599,0.049415813,0.047716176,0.046074998,0.044490268,0.042960044,0.041482451,0.040055679,0.038677981,0.037347668,0.03606311,0.034822735,0.033625021,0.032468503,0.031351762,0.030273431,0.029232189,0.02822676,0.027255912,0.026318457,0.025413244,0.024539166,0.023695152,0.022880167,0.022093213,0.021333326,0.020599576,0.019891062,0.019206917,0.018546303,0.017908411,0.017292458,0.016697691,0.016123381,0.015568824,0.015033341,0.014516276,0.014016994,0.013534886,0.013069359,0.012619844,0.012185789,0.011766664,0.011361955,0.010971165,0.010593816,0.010229446,0.009877609,0.009537873,0.009209822,0.008893054,0.008587181,0.008291828,0.008006634,0.007731249,0.007465336,0.007208569,0.006960633,0.006721225,0.006490052,0.006266829,0.006051284,0.005843153,0.00564218,0.005448119,0.005260734,0.005079793,0.004905075,0.004736367,0.004573462,0.00441616,0.004264268,0.0041176,0.003975977,0.003839225,0.003707176,0.003579669,0.003456548,0.003337662,0.003222864,0.003112015,0.003004979,0.002901624,0.002801824,0.002705456,0.002612403,0.00252255,0.002435788,0.00235201,0.002271114,0.002193,0.002117573,0.00204474,0.001974412,0.001906503,0.001840929,0.001777611,0.001716471,0.001657434,0.001600427,0.001545381,0.001492228,0.001440904,0.001391344,0.00134349,0.001297281,0.001252661,0.001209577,0.001167974,0.001127802,0.001089012,0.001051555,0.001015388,0.000980464,0.000946741,0.000914178,0.000882736,0.000852374,0.000823057,0.000794749,0.000767413,0.000741019,0.000715532,0.000690921,0.000667157,0.000644211,0.000622053,0.000600658
1,0.006764705,0.006532036,0.006307369,0.00609043,0.005880952,0.005678679,0.005483363,0.005294765,0.005112654,0.004936806,0.004767007,0.004603048,0.004444728,0.004291853,0.004144237,0.004001698,0.003864061,0.003731158,0.003602826,0.003478909,0.003359253,0.003243713,0.003132147,0.003024418,0.002920394,0.002819949,0.002722958,0.002629303,0.002538869,0.002451546,0.002367226,0.002285806,0.002207187,0.002131271,0.002057967,0.001987184,0.001918836,0.001852838,0.001789111,0.001727575,0.001668156,0.00161078,0.001555378,0.001501881,0.001450225,0.001400345,0.001352181,0.001305673,0.001260765,0.001217401,0.001175529,0.001135098,0.001096056,0.001058358,0.001021956,0.000986806,0.000952866,0.000920092,0.000888446,0.000857888,0.000828382,0.00079989,0.000772378,0.000745812,0.00072016,0.000695391,0.000671473,0.000648378,0.000626077,0.000604544,0.000583751,0.000563673,0.000544286,0.000525565,0.000507488,0.000490034,0.000473179,0.000456904,0.000441189,0.000426015,0.000411362,0.000397214,0.000383552,0.000370359,0.000357621,0.000345321,0.000333444,0.000321975,0.000310901,0.000300208,0.000289882,0.000279912,0.000270284,0.000260988,0.000252011,0.000243343,0.000234974,0.000226892,0.000219088,0.000211553,0.000204276,0.00019725,0.000190466,0.000183915,0.000177589,0.000171481,0.000165583,0.000159888,0.000154389,0.000149079,0.000143951,0.000139,0.000134219,0.000129603,0.000125145,0.000120841,0.000116685,0.000112671,0.000108796,0.000105054,0.000101441,9.79516E-05,9.45826E-05,9.13295E-05,8.81883E-05,8.51551E-05,8.22262E-05,7.93981E-05,7.66672E-05,7.40303E-05,7.1484E-05,6.90254E-05,6.66513E-05,6.43588E-05,6.21452E-05,6.00078E-05,5.79438E-05,5.59509E-05,5.40265E-05,5.21682E-05,5.03739E-05,4.86413E-05,4.69683E-05,4.53529E-05,4.3793E-05,4.22868E-05,4.08323E-05,3.94279E-05,3.80718E-05,3.67623E-05
2,0.005639168,0.005445211,0.005257925,0.005077081,0.004902457,0.004733839,0.00457102,0.004413802,0.004261991,0.004115402,0.003973854,0.003837175,0.003705197,0.003577758,0.003454703,0.00333588,0.003221144,0.003110354,0.003003374,0.002900075,0.002800328,0.002704012,0.002611008,0.002521204,0.002434488,0.002350755,0.002269902,0.002191829,0.002116442,0.002043648,0.001973358,0.001905485,0.001839946,0.001776662,0.001715555,0.001656549,0.001599573,0.001544556,0.001491432,0.001440134,0.001390602,0.001342772,0.001296588,0.001251993,0.001208931,0.00116735,0.0011272,0.00108843,0.001050994,0.001014846,0.00097994,0.000946236,0.00091369,0.000882264,0.000851919,0.000822618,0.000794324,0.000767004,0.000740623,0.00071515,0.000690552,0.000666801,0.000643867,0.000621721,0.000600337,0.000579689,0.000559751,0.000540498,0.000521908,0.000503957,0.000486624,0.000469887,0.000453725,0.00043812,0.000423051,0.0004085,0.00039445,0.000380883,0.000367783,0.000355133,0.000342918,0.000331124,0.000319735,0.000308738,0.000298119,0.000287865,0.000277964,0.000268404,0.000259172,0.000250258,0.00024165,0.000233339,0.000225313,0.000217564,0.000210081,0.000202855,0.000195878,0.000189141,0.000182635,0.000176354,0.000170288,0.000164431,0.000158776,0.000153315,0.000148041,0.00014295,0.000138033,0.000133285,0.000128701,0.000124274,0.00012,0.000115873,0.000111887,0.000108039,0.000104323,0.000100735,9.72701E-05,9.39245E-05,9.0694E-05,8.75747E-05,8.45626E-05,8.16541E-05,7.88456E-05,7.61338E-05,7.35152E-05,7.09866E-05,6.85451E-05,6.61875E-05,6.3911E-05,6.17128E-05,5.95902E-05,5.75407E-05,5.55616E-05,5.36506E-05,5.18053E-05,5.00234E-05,4.83029E-05,4.66415E-05,4.50373E-05,4.34883E-05,4.19925E-05,4.05482E-05,3.91536E-05,3.78069E-05,3.65066E-05,3.52509E-05,3.40385E-05,3.28677E-05,3.17373E-05,3.06457E-05
3,0.004673806,0.004513052,0.004357828,0.004207942,0.004063212,0.003923459,0.003788513,0.003658209,0.003532387,0.003410892,0.003293575,0.003180294,0.003070909,0.002965287,0.002863297,0.002764815,0.00266972,0.002577896,0.002489231,0.002403615,0.002320943,0.002241115,0.002164033,0.002089602,0.002017731,0.001948332,0.00188132,0.001816613,0.001754131,0.001693799,0.001635541,0.001579287,0.001524968,0.001472518,0.001421871,0.001372966,0.001325744,0.001280145,0.001236115,0.0011936,0.001152546,0.001112905,0.001074627,0.001037666,0.001001976,0.000967513,0.000934236,0.000902103,0.000871076,0.000841116,0.000812186,0.000784251,0.000757277,0.000731231,0.00070608,0.000681795,0.000658345,0.000635701,0.000613837,0.000592724,0.000572338,0.000552652,0.000533644,0.00051529,0.000497566,0.000480453,0.000463928,0.000447971,0.000432563,0.000417686,0.000403319,0.000389447,0.000376053,0.000363118,0.000350629,0.000338569,0.000326924,0.00031568,0.000304822,0.000294338,0.000284214,0.000274439,0.000265,0.000255885,0.000247084,0.000238586,0.00023038,0.000222456,0.000214805,0.000207417,0.000200283,0.000193394,0.000186742,0.000180319,0.000174117,0.000168129,0.000162346,0.000156762,0.00015137,0.000146164,0.000141137,0.000136282,0.000131595,0.000127069,0.000122698,0.000118478,0.000114403,0.000110468,0.000106669,0.000103,9.94574E-05,9.60366E-05,9.27334E-05,8.95439E-05,8.64641E-05,8.34902E-05,8.06186E-05,7.78457E-05,7.51683E-05,7.25829E-05,7.00864E-05,6.76758E-05,6.53481E-05,6.31005E-05,6.09302E-05,5.88345E-05,5.68109E-05,5.4857E-05,5.29702E-05,5.11483E-05,4.93891E-05,4.76903E-05,4.60501E-05,4.44662E-05,4.29368E-05,4.146E-05,4.0034E-05,3.8657E-05,3.73275E-05,3.60436E-05,3.48039E-05,3.36068E-05,3.24509E-05,3.13348E-05,3.0257E-05,2.92164E-05,2.82115E-05,2.72412E-05,2.63042E-05,2.53995E-05
4,0.003855812,0.003723193,0.003595135,0.003471482,0.003352082,0.003236788,0.00312546,0.003017961,0.00291416,0.002813928,0.002717145,0.00262369,0.002533449,0.002446312,0.002362172,0.002280926,0.002202475,0.002126721,0.002053574,0.001982942,0.001914739,0.001848883,0.001785291,0.001723887,0.001664594,0.001607341,0.001552058,0.001498675,0.001447129,0.001397356,0.001349294,0.001302886,0.001258073,0.001214803,0.00117302,0.001132674,0.001093717,0.001056099,0.001019775,0.0009847,0.000950831,0.000918128,0.000886549,0.000856057,0.000826613,0.000798182,0.000770729,0.00074422,0.000718623,0.000693906,0.00067004,0.000646994,0.000624741,0.000603253,0.000582504,0.000562469,0.000543124,0.000524443,0.000506405,0.000488987,0.000472169,0.000455929,0.000440247,0.000425105,0.000410484,0.000396366,0.000382733,0.000369569,0.000356858,0.000344584,0.000332732,0.000321288,0.000310237,0.000299567,0.000289263,0.000279314,0.000269707,0.000260431,0.000251473,0.000242824,0.000234472,0.000226408,0.00021862,0.000211101,0.00020384,0.000196829,0.000190059,0.000183522,0.00017721,0.000171115,0.00016523,0.000159547,0.000154059,0.00014876,0.000143644,0.000138703,0.000133933,0.000129326,0.000124878,0.000120583,0.000116435,0.000112431,0.000108564,0.00010483,0.000101224,9.77425E-05,9.43807E-05,9.11345E-05,0.000088,8.49733E-05,8.20507E-05,7.92286E-05,7.65035E-05,7.38722E-05,7.13314E-05,6.8878E-05,6.6509E-05,6.42214E-05,6.20126E-05,5.98797E-05,5.78201E-05,5.58314E-05,5.39111E-05,5.20569E-05,5.02664E-05,4.85375E-05,4.68681E-05,4.52561E-05,4.36995E-05,4.21965E-05,4.07452E-05,3.93437E-05,3.79905E-05,3.66839E-05,3.54221E-05,3.42038E-05,3.30274E-05,3.18914E-05,3.07945E-05,2.97354E-05,2.87126E-05,2.77251E-05,2.67715E-05,2.58507E-05,2.49616E-05,2.4103E-05,2.3274E-05,2.24735E-05,2.17005E-05,2.09542E-05
5,0.003215485,0.003104889,0.002998098,0.00289498,0.002795408,0.002699261,0.002606421,0.002516774,0.002430211,0.002346625,0.002265914,0.002187979,0.002112724,0.002040058,0.001969891,0.001902137,0.001836714,0.001773541,0.001712541,0.001653639,0.001596762,0.001541842,0.001488811,0.001437604,0.001388159,0.001340413,0.00129431,0.001249793,0.001206807,0.001165299,0.001125219,0.001086518,0.001049148,0.001013063,0.000978219,0.000944573,0.000912085,0.000880714,0.000850423,0.000821173,0.000792929,0.000765656,0.000739322,0.000713893,0.000689339,0.00066563,0.000642736,0.000620629,0.000599283,0.000578671,0.000558767,0.000539549,0.000520991,0.000503072,0.000485769,0.000469061,0.000452928,0.00043735,0.000422307,0.000407782,0.000393757,0.000380214,0.000367136,0.000354509,0.000342316,0.000330542,0.000319173,0.000308195,0.000297595,0.000287359,0.000277476,0.000267932,0.000258717,0.000249818,0.000241226,0.000232929,0.000224917,0.000217181,0.000209712,0.000202499,0.000195534,0.000188809,0.000182315,0.000176044,0.000169989,0.000164142,0.000158497,0.000153045,0.000147781,0.000142698,0.00013779,0.000133051,0.000128475,0.000124056,0.000119789,0.000115669,0.000111691,0.000107849,0.00010414,0.000100558,9.70992E-05,9.37595E-05,9.05347E-05,8.74208E-05,8.4414E-05,8.15106E-05,7.87071E-05,0.000076,7.3386E-05,7.08619E-05,6.84247E-05,6.60712E-05,6.37987E-05,6.16044E-05,5.94855E-05,5.74396E-05,5.5464E-05,5.35563E-05,5.17142E-05,4.99356E-05,4.8218E-05,4.65596E-05,4.49582E-05,4.34119E-05,4.19188E-05,4.0477E-05,3.90848E-05,3.77405E-05,3.64424E-05,3.5189E-05,3.39787E-05,3.281E-05,3.16815E-05,3.05918E-05,2.95396E-05,2.85236E-05,2.75426E-05,2.65953E-05,2.56805E-05,2.47973E-05,2.39444E-05,2.31208E-05,2.23256E-05,2.15577E-05,2.08162E-05,2.01003E-05,1.94089E-05,1.87414E-05,1.80968E-05,1.74743E-05
6,0.002737205,0.00264306,0.002552153,0.002464373,0.002379612,0.002297766,0.002218735,0.002142423,0.002068735,0.001997582,0.001928876,0.001862533,0.001798472,0.001736614,0.001676884,0.001619208,0.001563516,0.00150974,0.001457813,0.001407672,0.001359256,0.001312505,0.001267362,0.001223771,0.00118168,0.001141037,0.001101791,0.001063896,0.001027303,0.00099197,0.000957851,0.000924906,0.000893095,0.000862377,0.000832716,0.000804075,0.000776419,0.000749715,0.000723928,0.000699029,0.000674986,0.000651771,0.000629353,0.000607707,0.000586805,0.000566622,0.000547133,0.000528315,0.000510144,0.000492598,0.000475655,0.000459295,0.000443498,0.000428244,0.000413515,0.000399292,0.000385558,0.000372297,0.000359492,0.000347128,0.000335188,0.00032366,0.000312528,0.000301778,0.000291399,0.000281376,0.000271698,0.000262353,0.00025333,0.000244617,0.000236203,0.000228079,0.000220234,0.00021266,0.000205345,0.000198282,0.000191463,0.000184877,0.000178519,0.000172378,0.00016645,0.000160725,0.000155197,0.000149859,0.000144704,0.000139727,0.000134921,0.000130281,0.0001258,0.000121473,0.000117295,0.000113261,0.000109365,0.000105604,0.000101971,9.84642E-05,9.50775E-05,9.18074E-05,8.86497E-05,8.56006E-05,8.26564E-05,7.98135E-05,7.70683E-05,7.44176E-05,7.1858E-05,6.93865E-05,0.000067,6.46956E-05,6.24704E-05,6.03217E-05,5.8247E-05,5.62436E-05,5.43091E-05,5.24412E-05,5.06375E-05,4.88959E-05,4.72141E-05,4.55902E-05,4.40221E-05,4.2508E-05,4.1046E-05,3.96342E-05,3.8271E-05,3.69547E-05,3.56837E-05,3.44563E-05,3.32712E-05,3.21269E-05,3.10219E-05,2.99549E-05,2.89246E-05,2.79298E-05,2.69691E-05,2.60415E-05,2.51458E-05,2.4281E-05,2.34458E-05,2.26394E-05,2.18607E-05,2.11089E-05,2.03828E-05,1.96818E-05,1.90048E-05,1.83512E-05,1.772E-05,1.71105E-05,1.6522E-05,1.59537E-05,1.5405E-05,1.48752E-05
7,0.002445817,0.002361694,0.002280464,0.002202029,0.002126291,0.002053158,0.001982541,0.001914352,0.001848509,0.00178493,0.001723538,0.001664258,0.001607016,0.001551743,0.001498372,0.001446836,0.001397073,0.001349021,0.001302622,0.001257819,0.001214557,0.001172782,0.001132445,0.001093495,0.001055885,0.001019568,0.0009845,0.000950639,0.000917942,0.00088637,0.000855884,0.000826446,0.000798021,0.000770573,0.000744069,0.000718477,0.000693766,0.000669904,0.000646863,0.000624614,0.000603131,0.000582387,0.000562356,0.000543014,0.000524337,0.000506303,0.000488888,0.000472073,0.000455837,0.000440158,0.000425019,0.000410401,0.000396285,0.000382655,0.000369494,0.000356785,0.000344514,0.000332664,0.000321223,0.000310174,0.000299506,0.000289205,0.000279258,0.000269653,0.000260378,0.000251422,0.000242775,0.000234425,0.000226362,0.000218576,0.000211058,0.000203799,0.000196789,0.000190021,0.000183485,0.000177174,0.000171081,0.000165196,0.000159514,0.000154028,0.00014873,0.000143615,0.000138675,0.000133906,0.0001293,0.000124853,0.000120558,0.000116412,0.000112408,0.000108542,0.000104808,0.000101204,9.77227E-05,9.43616E-05,9.11161E-05,8.79822E-05,8.49561E-05,8.2034E-05,7.92125E-05,7.6488E-05,7.38573E-05,7.1317E-05,6.88641E-05,6.64955E-05,6.42084E-05,0.000062,5.98675E-05,5.78084E-05,5.58201E-05,5.39002E-05,5.20463E-05,5.02562E-05,4.85277E-05,4.68586E-05,4.52469E-05,4.36907E-05,4.21879E-05,4.07369E-05,3.93358E-05,3.79828E-05,3.66764E-05,3.5415E-05,3.41969E-05,3.30207E-05,3.1885E-05,3.07883E-05,2.97293E-05,2.87068E-05,2.77195E-05,2.67661E-05,2.58454E-05,2.49565E-05,2.40981E-05,2.32693E-05,2.2469E-05,2.16961E-05,2.09499E-05,2.02293E-05,1.95336E-05,1.88617E-05,1.8213E-05,1.75865E-05,1.69817E-05,1.63976E-05,1.58336E-05,1.5289E-05,1.47632E-05,1.42554E-05,1.37651E-05,1.32916E-05
8,0.002247418,0.002170119,0.002095479,0.002023406,0.001953812,0.001886611,0.001821722,0.001759065,0.001698562,0.001640141,0.001583729,0.001529257,0.001476659,0.00142587,0.001376828,0.001329472,0.001283746,0.001239592,0.001196957,0.001155788,0.001116035,0.001077649,0.001040584,0.001004794,0.000970234,0.000936863,0.00090464,0.000873526,0.000843481,0.00081447,0.000786457,0.000759407,0.000733287,0.000708066,0.000683712,0.000660196,0.000637489,0.000615563,0.000594391,0.000573947,0.000554207,0.000535145,0.000516739,0.000498966,0.000481804,0.000465233,0.000449231,0.00043378,0.00041886,0.000404454,0.000390543,0.00037711,0.00036414,0.000351615,0.000339522,0.000327844,0.000316568,0.00030568,0.000295166,0.000285014,0.000275211,0.000265745,0.000256605,0.000247779,0.000239257,0.000231028,0.000223082,0.000215409,0.000208,0.000200846,0.000193938,0.000187267,0.000180826,0.000174607,0.000168601,0.000162802,0.000157203,0.000151796,0.000146575,0.000141534,0.000136666,0.000131965,0.000127426,0.000123043,0.000118811,0.000114725,0.000110779,0.000106969,0.00010329,9.97371E-05,9.63067E-05,9.29942E-05,8.97957E-05,8.67072E-05,8.3725E-05,8.08453E-05,7.80647E-05,7.53797E-05,7.2787E-05,7.02835E-05,6.78662E-05,6.55319E-05,6.3278E-05,6.11016E-05,0.000059,5.69707E-05,5.50112E-05,5.31191E-05,5.12921E-05,4.9528E-05,4.78245E-05,4.61796E-05,4.45912E-05,4.30575E-05,4.15766E-05,4.01466E-05,3.87658E-05,3.74324E-05,3.6145E-05,3.49018E-05,3.37013E-05,3.25422E-05,3.14229E-05,3.03421E-05,2.92985E-05,2.82908E-05,2.73178E-05,2.63782E-05,2.54709E-05,2.45949E-05,2.37489E-05,2.29321E-05,2.21434E-05,2.13817E-05,2.06463E-05,1.99362E-05,1.92505E-05,1.85884E-05,1.79491E-05,1.73317E-05,1.67356E-05,1.616E-05,1.56042E-05,1.50675E-05,1.45492E-05,1.40488E-05,1.35656E-05,1.3099E-05,1.26485E-05,1.22134E-05
9,0.002170119,0.002095479,0.002023406,0.001953812,0.001886611,0.001821722,0.001759065,0.001698562,0.001640141,0.001583729,0.001529257,0.001476659,0.00142587,0.001376828,0.001329472,0.001283746,0.001239592,0.001196957,0.001155788,0.001116035,0.001077649,0.001040584,0.001004794,0.000970234,0.000936863,0.00090464,0.000873526,0.000843481,0.00081447,0.000786457,0.000759407,0.000733287,0.000708066,0.000683712,0.000660196,0.000637489,0.000615563,0.000594391,0.000573947,0.000554207,0.000535145,0.000516739,0.000498966,0.000481804,0.000465233,0.000449231,0.00043378,0.00041886,0.000404454,0.000390543,0.00037711,0.00036414,0.000351615,0.000339522,0.000327844,0.000316568,0.00030568,0.000295166,0.000285014,0.000275211,0.000265745,0.000256605,0.000247779,0.000239257,0.000231028,0.000223082,0.000215409,0.000208,0.000200846,0.000193938,0.000187267,0.000180826,0.000174607,0.000168601,0.000162802,0.000157203,0.000151796,0.000146575,0.000141534,0.000136666,0.000131965,0.000127426,0.000123043,0.000118811,0.000114725,0.000110779,0.000106969,0.00010329,9.97371E-05,9.63067E-05,9.29942E-05,8.97957E-05,8.67072E-05,8.3725E-05,8.08453E-05,7.80647E-05,7.53797E-05,7.2787E-05,7.02835E-05,6.78662E-05,6.55319E-05,6.3278E-05,6.11016E-05,0.000059,5.69707E-05,5.50112E-05,5.31191E-05,5.12921E-05,4.9528E-05,4.78245E-05,4.61796E-05,4.45912E-05,4.30575E-05,4.15766E-05,4.01466E-05,3.87658E-05,3.74324E-05,3.6145E-05,3.49018E-05,3.37013E-05,3.25422E-05,3.14229E-05,3.03421E-05,2.92985E-05,2.82908E-05,2.73178E-05,2.63782E-05,2.54709E-05,2.45949E-05,2.37489E-05,2.29321E-05,2.21434E-05,2.13817E-05,2.06463E-05,1.99362E-05,1.92505E-05,1.85884E-05,1.79491E-05,1.73317E-05,1.67356E-05,1.616E-05,1.56042E-05,1.50675E-05,1.45492E-05,1.40488E-05,1.35656E-05,1.3099E-05,1.26485E-05,1.22134E-05,1.17934E-05
