Año de Nacimiento;Hombres qx;Mujeres qy;Factor Homrbes;Factor Mujeres
2000;6.487;3.633;0.0000;0.0400
1999;0.638;0.298;0.0000;0.0400
1998;0.339;0.221;0.0000;0.0400
1997;0.300;0.149;0.0000;0.0400
1996;0.254;0.144;0.0000;0.0400
1995;0.247;0.119;0.0000;0.0400
1994;0.223;0.108;0.0000;0.0400
1993;0.216;0.098;0.0000;0.0400
1992;0.200;0.083;0.0000;0.0400
1991;0.193;0.077;0.0000;0.0400
1990;0.185;0.083;0.0000;0.0400
1989;0.201;0.103;0.0000;0.0300
1988;0.208;0.120;0.0000;0.0300
1987;0.247;0.135;0.0000;0.0270
1986;0.301;0.141;0.0000;0.0270
1985;0.410;0.153;0.0000;0.0270
1984;0.572;0.177;0.0000;0.0270
1983;0.743;0.206;0.0000;0.0270
1982;0.875;0.224;0.0000;0.0270
1981;0.985;0.241;0.0000;0.0270
1980;1.102;0.242;0.0000;0.0270
1979;1.143;0.253;0.0000;0.0270
1978;1.222;0.242;0.0000;0.0270
1977;1.287;0.254;0.0000;0.0270
1976;1.336;0.266;0.0000;0.0270
1975;1.322;0.272;0.0000;0.0270
1974;1.348;0.295;0.0000;0.0270
1973;1.398;0.325;0.0000;0.0270
1972;1.448;0.337;0.0000;0.0270
1971;1.466;0.367;0.0000;0.0270
1970;1.429;0.367;0.0000;0.0270
1969;1.387;0.373;0.0010;0.0270
1968;1.414;0.356;0.0020;0.0270
1967;1.418;0.344;0.0030;0.0270
1966;1.407;0.374;0.0040;0.0270
1965;1.380;0.440;0.0050;0.0270
1964;1.347;0.458;0.0060;0.0270
1963;1.336;0.464;0.0070;0.0270
1962;1.436;0.488;0.0080;0.0270
1961;1.571;0.495;0.0090;0.0270
1960;1.667;0.584;0.0092;0.0270
1959;1.793;0.561;0.0094;0.0260
1958;1.919;0.658;0.0096;0.0260
1957;2.016;0.707;0.0098;0.0260
1956;2.158;0.762;0.0100;0.0260
1955;2.334;0.850;0.0100;0.0250
1954;2.565;0.870;0.0100;0.0250
1953;2.693;0.957;0.0100;0.0250
1952;2.823;0.996;0.0100;0.0250
1951;3.292;1.200;0.0100;0.0240
1950;3.708;1.378;0.0100;0.0230
1949;4.134;1.558;0.0100;0.0230
1948;4.502;1.631;0.0100;0.0230
1947;5.372;1.918;0.0100;0.0230
1946;5.695;2.037;0.0100;0.0230
1945;6.106;2.195;0.0100;0.0230
1944;6.518;2.286;0.0100;0.0230
1943;7.079;2.566;0.0100;0.0230
1942;7.703;2.827;0.0110;0.0230
1941;8.183;3.058;0.0120;0.0230
1940;9.184;3.424;0.0130;0.0240
1939;10.070;3.727;0.0130;0.0240
1938;10.876;4.133;0.0130;0.0240
1937;11.748;4.395;0.0130;0.0250
1936;13.045;4.828;0.0130;0.0250
1935;14.533;5.451;0.0130;0.0250
1934;15.690;6.053;0.0130;0.0250
1933;17.221;6.698;0.0130;0.0250
1932;18.968;7.433;0.0130;0.0250
1931;20.645;8.403;0.0130;0.0250
1930;22.270;9.330;0.0130;0.0250
1929;24.429;10.684;0.0130;0.0250
1928;27.259;12.013;0.0130;0.0250
1927;30.296;13.893;0.0130;0.0250
1926;33.690;15.897;0.0127;0.0240
1925;37.286;18.249;0.0124;0.0230
1924;40.934;21.049;0.0121;0.0220
1923;44.857;24.341;0.0118;0.0210
1922;49.256;27.849;0.0115;0.0200
1921;54.411;32.056;0.0112;0.0190
1920;59.678;37.498;0.0109;0.0180
1919;66.056;43.054;0.0106;0.0170
1918;72.769;48.100;0.0103;0.0160
1917;78.957;54.719;0.0100;0.0150
1916;84.610;62.984;0.0100;0.0140
1915;92.859;71.238;0.0100;0.0130
1914;102.503;79.092;0.0100;0.0120
1913;110.684;88.704;0.0100;0.0110
1912;120.763;98.128;0.0100;0.0100
1911;132.697;109.289;0.0100;0.0100
1910;145.575;121.868;0.0100;0.0090
1909;158.966;135.539;0.0100;0.0080
1908;174.313;150.147;0.0090;0.0070
1907;189.886;165.612;0.0080;0.0060
1906;206.827;183.671;0.0070;0.0050
1905;223.026;202.810;0.0060;0.0040
1904;240.493;223.010;0.0050;0.0030
1903;259.327;244.252;0.0040;0.0020
1902;279.634;266.510;0.0030;0.0010
1901;302.162;290.369;0.0020;0.0000
1900;326.505;312.166;0.0010;0.0000
1899;361.190;342.489;0.0000;0.0000
1898;386.405;365.956;0.0000;0.0000
1897;413.380;389.957;0.0000;0.0000
1896;442.239;414.475;0.0000;0.0000
1895;473.112;439.502;0.0000;0.0000
1894;506.141;465.043;0.0000;0.0000
1893;541.475;491.114;0.0000;0.0000
1892;579.276;518.648;0.0000;0.0000
1891;619.716;547.724;0.0000;0.0000
1890;662.979;578.431;0.0000;0.0000
1889;709.262;610.859;0.0000;0.0000
1888;758.776;645.106;0.0000;0.0000
1887;1000.000;1000.000;0.0000;0.0000
